place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,
万业紫辰苑,万业两房 精装修 拎包入住 户型正气,低楼层 (共31层) 2室2厅 | 85.66平米 | 南,435,"50,783",,85.66,,31.40566208,121.444699,63491,2,柏丽华庭,31.37503091,121.440221,58440,,,,49911.57
万业紫辰苑,此房满五年，视野开阔，采光充足，正对白沙公园,中楼层 (共12层) | 2010年建 | 2室2厅 | 93.95平米 | 南,498,"53,007",2010,93.95,12,31.40566208,121.444699,63491,2,宝宸共和家园,31.33881048,121.4444568,69072.5,,,,10227.13
万业紫辰苑,万业紫辰苑 3室2厅 南,高楼层 (共31层) 3室2厅 | 98.99平米 | 南,525,"53,036",,98.99,,31.40566208,121.444699,63491,2,宝宸怡景园,31.33768017,121.4416386,78158,,,,86613
万业紫辰苑,此房满五年，视野开阔，采光充足，正对白沙公园,中楼层 (共12层) | 2010年建 | 2室2厅 | 93.95平米 | 南,498,"53,007",2010,93.95,12,31.40566208,121.444699,63491,2,宝钢十村,31.41675544,121.4869605,51050,,,,27331
万业紫辰苑,满五年，税费少，总价低，诚心卖,中楼层 (共12层) | 2010年建 | 2室2厅 | 68.23平米 | 南,340,"49,832",2010,68.23,12,31.40566208,121.444699,63491,2,宝钢四村,31.41418067,121.4922087,50288.25,,,,49102
万业紫辰苑,万业两房 精装修 拎包入住 户型正气,低楼层 (共31层) 2室2厅 | 85.66平米 | 南,435,"50,783",,85.66,,31.40566208,121.444699,63491,2,宝钢一村,31.41068066,121.4939604,75886.61538,,,,
万业紫辰苑,万业三房 位置安静 楼层好 精装修 视野开阔,中楼层 (共32层) | 2012年建 | 3室2厅 | 95.03平米 | 南,506,"53,247",2012,95.03,10,31.40566208,121.444699,63491,2,宝景苑,31.34561494,121.4830812,62665,,,,
万业紫辰苑,万业 四房两厅两卫 一楼带地下复式 精装修 户型正,低楼层 (共20层) | 2012年建 | 4室2厅 | 187.21平米 | 南,755,"40,330",2012,187.21,10,31.40566208,121.444699,63491,2,宝林二村,31.40653591,121.4941855,50566.5,,,,
万业紫辰苑,万业紫辰苑 双南户型 精装修 小户型,中楼层 (共28层) | 2014年建 | 2室1厅 | 70.43平米 | 南 北,375,"53,245",2014,70.43,8,31.40566208,121.444699,63491,2,宝林一村,31.40154208,121.5097829,56433.6,,,,
万业紫辰苑,万业紫辰苑 3室2厅 南,高楼层 (共31层) 3室2厅 | 98.99平米 | 南,525,"53,036",,98.99,,31.40566208,121.444699,63491,2,宝祁雅苑(北区),31.3260071,121.379015,51426,,,,
