place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,,
丁香大楼,丁香大楼前排景观房+闹中取静+诚意出售,低楼层 (共18层) | 1992年建 | 2室1厅 | 74.95平米 | 南,830,"110,741",1992,74.95,30,31.21940926,121.4446583,73924,1,安东小区,31.20663614,121.4248636,81944,,,,,,,,
万航小区,新上笋盘 满五年 江五 2/11号线 通风好 采光好！,高楼层 (共25层) | 1995年建 | 1室1厅 | 47.34平米 | 东南,388,"81,961",1995,47.34,27,31.23299133,121.4294224,73924,1,安化路273号,31.2210219,121.432434,75235,,,,80779.31,14630.86,144473,43081,78672
万航小区,内环内全明电梯房两房，交通便利，配套齐全，苏州河边,低楼层 (共25层) | 1995年建 | 2室1厅 | 60.83平米 | 南 北,460,"75,621",1995,60.83,27,31.23299133,121.4294224,73924,1,安龙大楼,31.21759083,121.3997849,60022,,,,,,,,
万航小区,新上笋盘 满五年 江五 2/11号线 通风好 采光好！,高楼层 (共25层) | 1995年建 | 1室1厅 | 47.34平米 | 东南,388,"81,961",1995,47.34,27,31.23299133,121.4294224,73924,1,安顺路231弄,31.20685365,121.4230829,77855.2,,,,,,,,
万航小区,中山公园板块 内环内 全明户型 电梯房 苏州河景观,中楼层 (共25层) | 1995年建 | 2室1厅 | 62.54平米 | 西南,465,"74,353",1995,62.54,27,31.23299133,121.4294224,73924,1,安顺路363号,31.2062269,121.4156633,74033,,,,,,,,
三泾南宅,三泾南宅 精装三房 业主诚意出售,低楼层 (共7层) | 1995年建 | 3室2厅 | 111.14平米 | 南,967,"87,008",1995,111.14,27,31.21965716,121.4225302,73924,1,安阳小区,31.22171387,121.4274207,77307,,,,,,,,
三泾南宅,一室一厅，朝南，2/3/4号线，龙之梦来福士广场,低楼层 (共7层) | 1995年建 | 1室1厅 | 45.91平米 | 南,404,"87,999",1995,45.91,27,31.21965716,121.4225302,73924,1,百花村,31.21085518,121.4304634,112650,,,,,,,,
三泾南宅,内环内全明户型，精装修，2/3/4号线，来福士、龙之梦,高楼层 (共7层) | 1995年建 | 3室2厅 | 111.46平米 | 南,1040,"93,308",1995,111.46,27,31.21965716,121.4225302,73924,1,宝北小区,31.19485726,121.378638,66740.8,,,,,,,,
三泾南宅,内环内低总价一房，美化小区，近中山公园地铁站,高楼层 (共7层) | 1995年建 | 1室1厅 | 33.41平米 | 北,310,"92,787",1995,33.41,27,31.21965716,121.4225302,73924,1,宝石公寓,31.20114881,121.3991475,73700.33333,,,,,,,,
三泾南宅,内环内低总价一房，美化小区，近中山公园地铁站,高楼层 (共7层) | 1995年建 | 1室1厅 | 33.41平米 | 北,310,"92,787",1995,33.41,27,31.21965716,121.4225302,73924,1,北大街31弄,0,0,67590,,,,,,,,
上城Uptown,落地窗，满五税费低，高区景观好，看房方便，诚意出售,中楼层 (共23层) | 2003年建 | 4室2厅 | 182.26平米 | 南,1700,"93,274",2003,182.26,19,31.1980578,121.4046111,73924,1,北平南园,31.22752021,121.3697843,81695,,,,,,,,
上城Uptown,古北商圈03年小区，双轨地铁交汇，中间楼层无遮挡,中楼层 (共23层) | 2003年建 | 4室2厅 | 182.26平米 | 南,1700,"93,274",2003,182.26,19,31.1980578,121.4046111,73924,1,北汪小区,31.22417639,121.4397089,93825.33333,,,,,,,,
上城Uptown,满五税费低，高区景观视野开阔，全明户型，高得房率。,高楼层 (共23层) | 2003年建 | 4室2厅 | 182.26平米 | 南,1668,"91,518",2003,182.26,19,31.1980578,121.4046111,73924,1,碧瑶行政公寓,31.21602785,121.434996,95649,,,,,,,,
上海花城,复式双朝南 鸟语花香 32种名贵花卉51%的绿化 苏河景观,高楼层 (共11层) | 2000年建 | 3室2厅 | 133.1平米 | 南,1330,"99,925",2000,133.1,22,31.22531888,121.410441,73924,1,程桥二村,31.19595053,121.3818181,67017,,,,,,,,
上航新村,长宁西郊 1梯2户 采光楼层 三卧朝南,高楼层 (共6层) | 1989年建 | 3室2厅 | 96.22平米 | 南,535,"55,602",1989,96.22,33,31.19042883,121.362595,73924,1,翠春小区,31.21231246,121.372835,64320,,,,,,,,
上航新村,长宁西郊，电梯两房，双卧朝南，0个税,低楼层 (共6层) | 1989年建 | 2室1厅 | 72.47平米 | 南,420,"57,956",1989,72.47,33,31.19042883,121.362595,73924,1,翠庭,31.14147845,121.5895528,107164.6667,,,,,,,,
世纪之春花园,带车位 近地铁 一梯一户 四开间朝南 品质小区,低楼层 (共13层) | 2003年建 | 3室2厅 | 145.06平米 | 南,1250,"86,172",2003,145.06,19,31.22162409,121.3637156,73924,1,大家源新城,31.22773814,121.4188053,107791,,,,,,,,
世纪之春花园,商品房，近地铁，户型方正，诚意出售,低楼层 (共13层) | 2003年建 | 3室2厅 | 136.82平米 | 南,1170,"85,514",2003,136.82,19,31.22162409,121.3637156,73924,1,大金更小区,31.21484919,121.4053398,77653.66667,,,,,,,,
