place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
东亚威尼斯公馆,崇明岛高区次新房小区+小区环境好+视野开阔+近万达,高楼层 (共11层) 2室1厅 | 83.77平米 | 南,215,"25,666",,83.77,,31.63551591,121.437624,36630,3,安润路637弄,31.52115793,121.861804,14832.5,,,,,,,
东亚威尼斯公馆,房龄新++户型好++位置安静++绿化高++配套齐全,低楼层 (共11层) 3室2厅 | 143.95平米 | 南 北,230,"15,978",,143.95,,31.63551591,121.437624,36630,3,安润路638弄,31.52115793,121.861804,15418,,,18092.12,4112.36,33927,9668,17704.5
东门新村,此房满五，业主自住，生态崇明岛，诚心出售.,高楼层 (共6层) | 1992年建 | 3室2厅 | 73.64平米 | 南,130,"17,654",1992,73.64,30,31.63651093,121.412708,36630,3,安润路681弄,31.52115793,121.861804,13978,,,,,,,
东门新村,双南户型+采光充足+方便接孩子,中楼层 (共6层) | 1993年建 | 3室1厅 | 79.76平米 | 东,132,"16,550",1993,79.76,29,31.63651093,121.412708,36630,3,安通东路180弄,31.51880293,121.862686,15040,,,,,,,
中南江山美宸,人车分流 2019年商品房小区 电梯 洋房,中楼层 (共8层) | 2019年建 | 3室2厅 | 128.27平米 | 南 北,250,"19,491",2019,128.27,3,31.35751991,121.779646,36630,3,安振路88弄,31.52391881,121.8463066,15485,,,,,,,
中南江山美宸,人车分流 2019年商品房小区 电梯 洋房,低楼层 (共8层) | 2019年建 | 3室2厅 | 89.96平米 | 南,240,"26,679",2019,89.96,3,31.35751991,121.779646,36630,3,八一路22号,31.62327818,121.4018008,19349,,,,,,,
中津桥路10号,店长力荐！小岛精品好房！主城区，可收租金,高楼层 (共6层) 2室1厅 | 56.16平米 | 东,80,"14,246",,56.16,,31.64077196,121.4107928,36630,3,八一路崇安路住宅小区,31.62375969,121.4023768,17756.5,,,,,,,
中津桥路10号,店长力荐！小岛精品好房！主城区，可收租金,高楼层 (共6层) 2室1厅 | 56.16平米 | 东,80,"14,246",,56.16,,31.64077196,121.4107928,36630,3,北门二村,31.63129836,121.4084336,19951.33333,,,,,,,
亚通水岸景苑,亚通水岸景苑 3室2厅 南,低楼层 (共8层) 3室2厅 | 113.06平米 | 南,280,"24,766",,113.06,,31.37733369,121.4409535,36630,3,北门一村,31.63187184,121.4068566,19275.85714,,,,,,,
亚通水岸景苑,位置好++税费少++通透++装修好++近万达,低楼层 (共8层) 2室2厅 | 90.02平米 | 南,208,"23,106",,90.02,,31.37733369,121.4409535,36630,3,陈仓门弄1-14号,31.6273894,121.4021074,18919,,,,,,,
八一路22号,十验+东门，精装修，满五且一，中间楼层，全明户型,中楼层 (共6层) 1室1厅 | 42.38平米 | 南,82,"19,349",,42.38,,31.62327818,121.4018008,36630,3,达安御廷,31.63467429,121.4173572,27604.6,,,,,,,
八一路崇安路住宅小区,江景房!! 朝东朝南双向大阳台看江 & 配套完善,高楼层 (共6层) 2室1厅 | 54.32平米 | 南,89.9,"16,551",,54.32,,31.62375969,121.4023768,36630,3,大华凤凰佳苑,31.39503307,121.6981975,29406,,,,,,,
八一路崇安路住宅小区,经济适用性住房，配套齐全，交通便利,高楼层 (共6层) 2室1厅 | 54.32平米 | 南 北,103,"18,962",,54.32,,31.62375969,121.4023768,36630,3,东门新村,31.63651093,121.412708,17102,,,,,,,
