place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
中国铁建香榭国际,品质好房+近地铁+电梯房+带地下室+精装修+小区环境好,低楼层 (共20层) | 2018年建 | 3室1厅 | 167.1平米 | 南,425,"25,434",2018,167.1,4,30.99332883,121.445772,43586,3,恒盛湖畔豪庭,30.93367186,121.497161,46476,,,,,,,
九华新园,电梯顶复 大露台，满五年看房方便，采光一级棒,高楼层 (共17层) | 2007年建 | 6室2厅 | 251.56平米 | 南,675,"26,833",2007,251.56,15,30.9377815,121.4661207,43586,3,汤臣臻园,30.93435085,121.486767,45428,,,22645.95,6696.39,48258,11048,21229
九华苑,顶楼复式，视野好，近地铁，靠商场，税费少,高楼层 (共5层) | 2004年建 | 3室2厅 | 150.36平米 | 南,350,"23,278",2004,150.36,18,30.93933741,121.4650346,43586,3,保利象屿公园悦府,30.95802668,121.4957681,42963,,,,,,,
九华苑,九华苑 大面积复式 三个露台 宝龙广场 5号线地铁口,高楼层 (共5层) | 2004年建 | 5室3厅 | 215.91平米 | 南,464,"21,491",2004,215.91,18,30.93933741,121.4650346,43586,3,秋月朗庭,30.93407377,121.4674991,42572,,,,,,,
九华苑,顶楼复式，视野好，近地铁，靠商场，税费少,高楼层 (共5层) | 2004年建 | 3室2厅 | 150.36平米 | 南,350,"23,278",2004,150.36,18,30.93933741,121.4650346,43586,3,禹洲雍贤府,30.9803399,121.5212466,40081,,,,,,,
人民中路41弄,步行街中间，低楼层，生活交通便利，闹中取静。,中楼层 (共5层) | 1998年建 | 3室1厅 | 96.9平米 | 南,183,"18,886",1998,96.9,24,30.92112681,121.4652461,43586,3,馨雅名筑,30.92335696,121.4887626,38376.33333,,,,,,,
众旺苑,满五名下一套房 看房方便 户型方正 房龄新 出入方便,低楼层 (共6层) | 2011年建 | 2室1厅 | 82.17平米 | 南,253,"30,790",2011,82.17,11,30.91838288,121.448043,43586,3,阳光星期8,30.92522212,121.4894164,37813,,,,,,,
众旺苑,近地铁 、精装修、带露台阁楼、满五税费少 、六卧四卫,中楼层 (共5层) | 2007年建 | 5室1厅 | 245.21平米 | 南,503,"20,514",2007,245.21,15,30.91838288,121.448043,43586,3,正阳世纪星城行知苑,30.91863707,121.4816758,32231.33333,,,,,,,
众旺苑,中间楼层，全明户型，随时可签，满五，地铁5号线,中楼层 (共4层) | 2005年建 | 3室2厅 | 113.7平米 | 南,301,"26,474",2005,113.7,17,30.91838288,121.448043,43586,3,绿地南桥新苑,30.93299504,121.4781034,32217,,,,,,,
众旺苑,满5 全明户型 中间位置 有车位 地铁五号线,高楼层 (共6层) | 2011年建 | 2室1厅 | 90.35平米 | 南,269,"29,774",2011,90.35,11,30.91838288,121.448043,43586,3,正阳世纪星城米兰风尚,30.91567472,121.4853908,31766,,,,,,,
