place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
万峰梦湖苑,此房满五+南北通格局+朝南无遮挡+得房率高+电梯两户,低楼层 (共13层) | 2003年建 | 3室2厅 | 115.63平米 | 南,925,"79,997",2003,115.63,19,31.28888188,121.468708,73697,1,爱家豪庭,31.26690835,121.499426,115235,,,,,,,
万康家园,一房总价低，凉城热闹地段，各个功能间明窗，有钥匙,高楼层 (共6层) | 1995年建 | 1室1厅 | 41平米 | 南 北,252,"61,464",1995,41,27,31.30763789,121.475148,73697,1,八一小区,31.29399547,121.498771,73314,,,73185.65,16818.15,152859,50887,67628.5
万康家园,一房总价低，凉城热闹地段，各个功能间明窗，有钥匙,高楼层 (共6层) | 1995年建 | 1室1厅 | 41平米 | 南 北,252,"61,464",1995,41,27,31.30763789,121.475148,73697,1,宝华城市花园,31.28468835,121.4728694,98316,,,,,,,
三九大厦,地铁口+全明户型+高楼层+视野采光通风俱佳+看房方便,高楼层 (共29层) | 1996年建 | 2室2厅 | 98.09平米 | 西南,565,"57,601",1996,98.09,26,31.29767992,121.4918642,73697,1,赤峰小区,31.28899791,121.500053,73027.28571,,,,,,,
三九大厦,电梯房 + 单价低 + 中高楼层,中楼层 (共29层) | 1996年建 | 2室1厅 | 101.48平米 | 东南 南,590,"58,140",1996,101.48,26,31.29767992,121.4918642,73697,1,赤一小区,31.28829587,121.5006975,73571.33333,,,,,,,
三九大厦,3号线大柏树地铁口，名下只有这套，红旗primary,低楼层 (共29层) | 1996年建 | 3室1厅 | 101.48平米 | 北 东 西,580,"57,155",1996,101.48,26,31.29767992,121.4918642,73697,1,大二小区,31.27906541,121.4990731,64429.33333,,,,,,,
三九大厦,3号线大柏树地铁口，名下只有这套，红旗primary,低楼层 (共29层) | 1996年建 | 3室1厅 | 101.48平米 | 北 东 西,580,"57,155",1996,101.48,26,31.29767992,121.4918642,73697,1,大连西路169号,31.2819135,121.50214,71014,,,,,,,
三九大厦,3号线大柏树地铁口，高层景观楼层，全明户型，满五,高楼层 (共29层) | 1996年建 | 2室1厅 | 108.03平米 | 南,618,"57,207",1996,108.03,26,31.29767992,121.4918642,73697,1,大连小区,31.27280865,121.5117801,79572,,,,,,,
三九大厦,地铁口+全明户型+高楼层+视野采光通风俱佳+看房方便,高楼层 (共29层) | 1996年建 | 2室2厅 | 98.09平米 | 西南,565,"57,601",1996,98.09,26,31.29767992,121.4918642,73697,1,大三小区,31.28094545,121.4981972,74890,,,,,,,
三九大厦,电梯房 + 单价低 + 中高楼层,中楼层 (共29层) | 1996年建 | 2室1厅 | 101.48平米 | 东南 南,590,"58,140",1996,101.48,26,31.29767992,121.4918642,73697,1,东广大厦,31.28565343,121.4741904,59926,,,,,,,
三门二小区,此房满五年，中楼层，采光充足，交通便利，,中楼层 (共6层) | 1997年建 | 1室1厅 | 50.17平米 | 南,270,"53,818",1997,50.17,25,31.31835895,121.4858948,73697,1,东体小区,31.28663084,121.495122,69822,,,,,,,
三门二小区,精装修大一房，楼层好，采光充足，配套齐全交通便利,中楼层 (共6层) | 1997年建 | 1室1厅 | 50.17平米 | 南 北,295,"58,801",1997,50.17,25,31.31835895,121.4858948,73697,1,东体育会路355弄,31.28230513,121.4909037,70022,,,,,,,
上农二小区,广灵路+三房+3号线大柏树+近公园医院,高楼层 (共6层) | 1983年建 | 3室1厅 | 77.9平米 | 东南,460,"59,051",1983,77.9,39,31.29310168,121.4906088,73697,1,东五小区(虹口),31.28737664,121.489163,80409.5,,,,,,,
上农新村,有20平露台 ，三朝南，视野开阔，近地铁，诚意出售,高楼层 (共5层) | 1994年建 | 3室2厅 | 101.98平米 | 南,835,"81,879",1994,101.98,28,31.28857607,121.4901477,73697,1,广灵二村,31.29175003,121.4849468,57004.25,,,,,,,
上农新村,有20平露台 ，三朝南，视野开阔，近地铁，诚意出售,高楼层 (共5层) | 1994年建 | 3室2厅 | 101.98平米 | 南,835,"81,879",1994,101.98,28,31.28857607,121.4901477,73697,1,广中路310弄,31.23592904,121.4805389,67347,,,,,,,
世博花园,板式楼房，小区中间，闹中取静，近地铁。,低楼层 (共17层) | 2004年建 | 4室2厅 | 258.9平米 | 南,1680,"64,890",2004,258.9,18,31.2737598,121.4980797,73697,1,广中路384号,31.28429133,121.4794164,62268,,,,,,,
东五小区(虹口),曲阳百联近+交通便利+配套成熟+房东诚意出售,高楼层 (共24层) | 1988年建 | 2室1厅 | 87.51平米 | 南 北,708,"80,906",1988,87.51,34,31.28737664,121.489163,73697,1,国际明佳城,31.26092288,121.492916,87543,,,,,,,
东五小区(虹口),东五小区，内环内双地铁，诚意出售,低楼层 (共24层) | 1988年建 | 2室1厅 | 68.2平米 | 南,545,"79,913",1988,68.2,34,31.28737664,121.489163,73697,1,何家宅小区,31.2792323,121.4831702,68003,,,,,,,
东五小区(虹口),东五小区，内环内双地铁，诚意出售,低楼层 (共24层) | 1988年建 | 2室1厅 | 68.2平米 | 南,545,"79,913",1988,68.2,34,31.28737664,121.489163,73697,1,恒升半岛,31.25277507,121.4959903,69518,,,,,,,
东五小区(虹口),曲阳百联近+交通便利+配套成熟+房东诚意出售,高楼层 (共24层) | 1988年建 | 2室1厅 | 87.51平米 | 南 北,708,"80,906",1988,87.51,34,31.28737664,121.489163,73697,1,宏凯公寓,31.28253844,121.4830149,62392,,,,,,,
东体小区,小户型，低总价，层高高，税费少，自住出租皆合适,中楼层 (共5层) | 1958年建 | 1室0厅 | 30.02平米 | 北,212,"70,620",1958,30.02,64,31.28663084,121.495122,73697,1,宏苑小区,31.28140984,121.475273,67387.3,,,,,,,
东体小区,业主诚意出售+满五+总价低+看房方便+小户型,中楼层 (共5层) | 1958年建 | 1室1厅 | 29.7平米 | 北,205,"69,024",1958,29.7,64,31.28663084,121.495122,73697,1,虹口花苑,31.27034224,121.4825949,61973,,,,,,,
东体育会路355弄,满五年 诚意出售 位置安静 交通便利 近地铁 采光好,高楼层 (共5层) | 1975年建 | 1室1厅 | 42.13平米 | 南,295,"70,022",1975,42.13,47,31.28230513,121.4909037,73697,1,虹凉馨苑,31.29746709,121.4702454,76963.66667,,,,,,,
东广大厦,近内环+总价低+电梯房+产权车位+配套齐全,中楼层 (共22层) | 1998年建 | 3室1厅 | 120.15平米 | 西南 北,720,"59,926",1998,120.15,24,31.28565343,121.4741904,73697,1,虹叶茗园,31.26723538,121.4938082,94334,,,,,,,
中环明珠,05年电梯高层+人车分流+地铁近+中环内,中楼层 (共20层) | 2005年建 | 2室2厅 | 101.46平米 | 南,1075,"105,954",2005,101.46,17,31.29478487,121.488277,73697,1,华敏大厦,31.28232148,121.4923828,67772,,,,,,,
何家宅小区,内环边两房，采光无遮挡，3/8号线双轨交汇，商圈成熟,高楼层 (共7层) | 1993年建 | 2室0厅 | 50.5平米 | 东南,350,"69,307",1993,50.5,29,31.2792323,121.4831702,73697,1,华星公寓,31.27495408,121.484209,73086,,,,,,,
何家宅小区,内环边两房，采光无遮挡，3/8号线双轨交汇，商圈成熟,高楼层 (共7层) | 1993年建 | 2室0厅 | 50.5平米 | 东南,350,"69,307",1993,50.5,29,31.2792323,121.4831702,73697,1,纪念小区,31.29938463,121.4929437,59280,,,,,,,
何家宅小区,鲁迅公园小一房，使用面积大，采光好，总价低，诚意售,高楼层 (共7层) | 1993年建 | 1室1厅 | 35.63平米 | 南,233,"65,395",1993,35.63,29,31.2792323,121.4831702,73697,1,纪念一小区,31.29826857,121.4941965,61441,,,,,,,
佳伟小区,"不多见的全明一房,在家不用开灯,房东诚意急售看房方便",高楼层 (共7层) | 1997年建 | 1室0厅 | 32平米 | 西南,190,"59,375",1997,32,25,31.30624295,121.4799922,73697,1,佳伟小区,31.30624295,121.4799922,59375,,,,,,,
佳伟小区,"不多见的全明一房,在家不用开灯,房东诚意急售看房方便",高楼层 (共7层) | 1997年建 | 1室0厅 | 32平米 | 西南,190,"59,375",1997,32,25,31.30624295,121.4799922,73697,1,建邦16区,31.27293372,121.5036674,127274.8,,,,,,,
八一小区,曲阳百联旁+大面积两居室+南北两房,高楼层 (共6层) | 1996年建 | 2室1厅 | 61.38平米 | 南,450,"73,314",1996,61.38,26,31.29399547,121.498771,73697,1,建工天峰公寓,31.24930442,121.545351,78785,,,,,,,
八一小区,曲阳百联旁+大面积两居室+南北两房,高楼层 (共6层) | 1996年建 | 2室1厅 | 61.38平米 | 南,450,"73,314",1996,61.38,26,31.29399547,121.498771,73697,1,江杨家园,31.18061075,121.2445394,70374.2,,,,,,,
兴华小区,满五年+钥匙房+3/8号线地铁口+龙之梦+鲁迅公园,低楼层 (共24层) | 1997年建 | 2室0厅 | 63.77平米 | 东 东南,429,"67,274",1997,63.77,25,31.27996204,121.4882821,73697,1,蒋家桥小区,31.28082462,121.5036895,76233.5,,,,,,,
兴华小区,业主诚意出售，3+8号线足球场站500米，看房方便,中楼层 (共24层) | 1997年建 | 3室2厅 | 138.25平米 | 西南,900,"65,100",1997,138.25,25,31.27996204,121.4882821,73697,1,金机大厦(公寓),31.26959739,121.4859596,59783,,,,,,,
兴华小区,满五年+钥匙房+3/8号线地铁口+龙之梦+鲁迅公园,低楼层 (共24层) | 1997年建 | 2室0厅 | 63.77平米 | 东 东南,429,"67,274",1997,63.77,25,31.27996204,121.4882821,73697,1,金轩大邸,31.27650728,121.5055497,92178,,,,,,,
凉城一村,满5唯1+采光通风好+小区中间位置，,高楼层 (共6层) | 1991年建 | 1室1厅 | 41.29平米 | 南,245,"59,337",1991,41.29,31,31.29632031,121.4831165,73697,1,锦苑小区(虹口),31.30039491,121.475867,61589,,,,,,,
凉城三村,店长推荐+诚意售+有采光+地铁三号线+看房方便,高楼层 (共6层) | 1987年建 | 1室1厅 | 42.27平米 | 南,240,"56,778",1987,42.27,35,31.29774896,121.478689,73697,1,凉城路1201弄,31.30865981,121.4770183,61843,,,,,,,
凉城三村,店长推荐+诚意售+有采光+地铁三号线+看房方便,高楼层 (共6层) | 1987年建 | 1室1厅 | 42.27平米 | 南,240,"56,778",1987,42.27,35,31.29774896,121.478689,73697,1,凉城三村,31.29774896,121.478689,57488,,,,,,,
凉城三村,高楼层+采光很好无遮挡+业主诚意出售,高楼层 (共6层) | 1987年建 | 1室1厅 | 42.27平米 | 南,249,"58,908",1987,42.27,35,31.29774896,121.478689,73697,1,凉城一村,31.29632031,121.4831165,59337,,,,,,,
凉城路1201弄,满五 唯 一，婚房装修，诚意出售，看房方便。,高楼层 (共6层) | 1993年建 | 1室1厅 | 38平米 | 南,235,"61,843",1993,38,29,31.30865981,121.4770183,73697,1,灵新小区,31.29396484,121.4859254,66836,,,,,,,
华敏大厦,高区景观 视野好 通风佳 户型好,高楼层 (共28层) | 1998年建 | 5室2厅 | 172.64平米 | 西南,1170,"67,772",1998,172.64,24,31.28232148,121.4923828,73697,1,柳林公寓,31.27828575,121.4758481,64793.83333,,,,,,,
华星公寓,内环内，户型方正，东边套，龙之梦20米，双地铁交汇,高楼层 (共7层) | 1997年建 | 3室2厅 | 134.09平米 | 南 北,980,"73,086",1997,134.09,25,31.27495408,121.484209,73697,1,密二小区,31.28113339,121.5048747,78267,,,,,,,
双东小区,税费简单，南北两房，采光通风好,高楼层 (共6层) | 1984年建 | 2室1厅 | 53.05平米 | 南 北,485,"91,424",1984,53.05,38,31.28921673,121.495715,73697,1,名江七星城,31.25728745,121.5014846,152859,,,,,,,
名江七星城,北外滩滨江，万科物业，高区景观，2T2H刷卡到户,高楼层 (共30层) | 2003年建 | 3室1厅 | 130.84平米 | 南,2000,"152,859",2003,130.84,19,31.25728745,121.5014846,73697,1,明光公寓,31.27795213,121.4736217,55276,,,,,,,
唐山新苑,小户型楼梯房，得房率高，诚意出售，,高楼层 (共6层) | 1993年建 | 1室1厅 | 59.45平米 | 南,520,"87,469",1993,59.45,29,31.26640894,121.5156129,73697,1,欧阳路555弄,31.27938978,121.4946514,85035,,,,,,,
商业一村,精装修，拎包入住，双轨交、出行方便、采光无遮挡,高楼层 (共5层) | 1971年建 | 1室1厅 | 42.53平米 | 南,268,"63,015",1971,42.53,51,31.2815795,121.4826949,73697,1,浦江名邸,31.08147177,121.5230461,80982,,,,,,,
商洛小区,新上架，满五年，面宽3.5米，一室一厅，分门,中楼层 (共5层) | 1958年建 | 1室1厅 | 46.98平米 | 南,278,"59,175",1958,46.98,64,31.28999589,121.486833,73697,1,瑞虹新城(一期),31.26901642,121.5026103,96780.5,,,,,,,
商洛小区,店长推荐+内环旁近地铁+商洛97年房龄+南北两房带厅,高楼层 (共7层) | 1997年建 | 2室1厅 | 61.5平米 | 南,360,"58,537",1997,61.5,25,31.28999589,121.486833,73697,1,三九大厦,31.29767992,121.4918642,57571.28571,,,,,,,
商洛小区,此方满五朝南，南北两房采光霸道，次顶楼，交通便利,高楼层 (共6层) | 1958年建 | 2室1厅 | 78.73平米 | 南,465,"59,063",1958,78.73,64,31.28999589,121.486833,73697,1,三门二小区,31.31835895,121.4858948,56309.5,,,,,,,
商洛小区,此方满五朝南，南北两房采光霸道，次顶楼，交通便利,高楼层 (共6层) | 1958年建 | 2室1厅 | 78.73平米 | 南,465,"59,063",1958,78.73,64,31.28999589,121.486833,73697,1,商洛小区,31.28999589,121.486833,59544.33333,,,,,,,
商洛小区,此房南北两房满五W税，采光霸道，赤峰路旁400米,高楼层 (共6层) | 1958年建 | 2室1厅 | 78.73平米 | 南,478,"60,714",1958,78.73,64,31.28999589,121.486833,73697,1,商业一村,31.2815795,121.4826949,63015,,,,,,,
商洛小区,此房南北两房满五W税，采光霸道，赤峰路旁400米,高楼层 (共6层) | 1958年建 | 2室1厅 | 78.73平米 | 南,478,"60,714",1958,78.73,64,31.28999589,121.486833,73697,1,上农二小区,31.29310168,121.4906088,59051,,,,,,,
国际明佳城,双地铁双公园南北通大4房品质小区有车位 刚刚改建好,低楼层 (共28层) | 2004年建 | 4室2厅 | 222.75平米 | 南,1950,"87,543",2004,222.75,18,31.26092288,121.492916,73697,1,上农新村,31.28857607,121.4901477,81879,,,,,,,
