place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
东业大厦,满五税费少，不是独栋大楼，板式全明3+1房，诚意出售,低楼层 (共25层) | 2001年建 | 3室2厅 | 170.86平米 | 南 北,1770,"103,594",2001,170.86,21,31.22782105,121.5051772,77943,1,百花公寓,31.21295069,121.4959427,102761,,,,,,,
东业大厦,满五税费少，不是独栋大楼，板式全明3+1房，诚意出售,低楼层 (共25层) | 2001年建 | 3室2厅 | 170.86平米 | 南 北,1770,"103,594",2001,170.86,21,31.22782105,121.5051772,77943,1,打浦大楼,31.21144747,121.4734172,121457,,,113477.52,18059.21,170145,69331,110929
东晖花苑,市区精装品质大一房 视野开阔,中楼层 (共29层) | 2004年建 | 1室2厅 | 81.35平米 | 北,820,"100,800",2004,81.35,18,31.20359797,121.4786153,77943,1,打浦路339弄,31.15811488,121.161906,95145,,,,,,,
中福花苑,复式房源 得房率高 满五税费少 近地铁,低楼层 (共15层) | 2003年建 | 1室1厅 | 42.46平米 | 北,490,"115,403",2003,42.46,19,31.21630248,121.5054383,77943,1,东晖花苑,31.20359797,121.4786153,100800,,,,,,,
中福花苑,买进价高税费少，自住精装，边套全明,中楼层 (共19层) | 2003年建 | 1室1厅 | 49.53平米 | 西,598,"120,735",2003,49.53,19,31.21630248,121.5054383,77943,1,东业大厦,31.22782105,121.5051772,103594,,,,,,,
中福花苑,高区采光好，复式得房率高，满五税费少，装修好入住,高楼层 (共19层) | 2003年建 | 2室1厅 | 49.53平米 | 西,580,"117,101",2003,49.53,19,31.21630248,121.5054383,77943,1,海潮公寓,31.21646183,121.503072,94543,,,,,,,
中福花苑,精装一房，高楼层可看江景，交通便利，带外阳台,高楼层 (共19层) | 2003年建 | 1室1厅 | 58.66平米 | 南,700,"119,332",2003,58.66,19,31.21630248,121.5054383,77943,1,海潮新村,31.21535205,121.5027974,102101,,,,,,,
中福花苑,复式房源 得房率高 满五税费少 近地铁,低楼层 (共15层) | 2003年建 | 1室1厅 | 42.46平米 | 北,490,"115,403",2003,42.46,19,31.21630248,121.5054383,77943,1,海华花园,31.21039221,121.4755427,117619.6667,,,,,,,
中福花苑,精装一房，高楼层可看江景，交通便利，带外阳台,高楼层 (共19层) | 2003年建 | 1室1厅 | 58.66平米 | 南,700,"119,332",2003,58.66,19,31.21630248,121.5054383,77943,1,海悦花园,31.20762542,121.4809612,146155,,,,,,,
中福花苑,loft户型，装修保养好、得房率高，内环内低总价、诚售,低楼层 (共19层) | 2003年建 | 2室1厅 | 55.07平米 | 东南,650,"118,032",2003,55.07,19,31.21630248,121.5054383,77943,1,恒升大厦,31.21677885,121.489009,97296.5,,,,,,,
中福花苑,loft户型，得房率高，内环内低总价电梯房,高楼层 (共19层) | 2003年建 | 1室1厅 | 57.38平米 | 东南,675,"117,637",2003,57.38,19,31.21630248,121.5054383,77943,1,弘辉名苑,31.20889505,121.4963738,149074,,,,,,,
丽丽小区,售后公房、户型全明、看房方便、诚意出售,高楼层 (共6层) | 1986年建 | 1室1厅 | 37.75平米 | 南,368,"97,484",1986,37.75,36,31.21200385,121.488528,77943,1,惠祥公寓,31.20514208,121.4943554,156484.5,,,,,,,
丽丽小区,售后公房、户型全明、看房方便、诚意出售,高楼层 (共6层) | 1986年建 | 1室1厅 | 37.75平米 | 南,368,"97,484",1986,37.75,36,31.21200385,121.488528,77943,1,济南路8号,0,0,147984,,,,,,,
丽园新村,全明户型，楼层好，朝南采光无遮挡，户型正气,中楼层 (共6层) | 1986年建 | 2室0厅 | 49.43平米 | 南,578,"116,934",1986,49.43,36,31.2111448,121.4900738,77943,1,江南新苑,31.20485376,121.48521,113372,,,,,,,
五里桥路260弄,房东诚意，上家税费少，户型好，电梯房,中楼层 (共7层) | 1988年建 | 2室0厅 | 49.7平米 | 南,640,"128,773",1988,49.7,34,31.20914854,121.4865462,77943,1,金外滩花园,31.24194908,121.4924852,163192,,,,,,,
五金新邨,满五年，中区采光好1房1厅，地段好，交通便利，精装修,中楼层 (共5层) | 1976年建 | 1室1厅 | 50.14平米 | 东 西,660,"131,632",1976,50.14,46,31.22293213,121.470266,77943,1,精文苑,31.2070131,121.4988309,130882,,,,,,,
仁宝公寓,溫馨全明兩房 可看江景 視野好 近地鐵,高楼层 (共27层) | 1996年建 | 2室2厅 | 92.77平米 | 南 北,950,"102,404",1996,92.77,26,31.21473191,121.5040407,77943,1,局后小区,31.2147841,121.487303,110193,,,,,,,
仁宝公寓,溫馨全明兩房 可看江景 視野好 近地鐵,高楼层 (共27层) | 1996年建 | 2室2厅 | 92.77平米 | 南 北,950,"102,404",1996,92.77,26,31.21473191,121.5040407,77943,1,局三小区,31.20763299,121.4913817,114463,,,,,,,
南园新村,售后公房税费低，业主诚意出售，出门即地铁，位于内环,高楼层 (共6层) | 1988年建 | 2室0厅 | 44.04平米 | 南 北,412,"93,552",1988,44.04,34,31.20352778,121.4807533,77943,1,开城新苑,31.21219472,121.4833051,128450,,,,,,,
南园新村,地段好 近地铁 中间楼层 采光通风好 诚意卖,中楼层 (共6层) | 1988年建 | 2室1厅 | 44.19平米 | 南,430,"97,308",1988,44.19,34,31.20352778,121.4807533,77943,1,康瞿小区,31.2015414,121.4771498,99131.5,,,,,,,
南浦公寓,小区安静 电梯房 楼层好 自住装修 可以拎包入住,低楼层 (共24层) | 1996年建 | 2室1厅 | 79.35平米 | 南,848,"106,869",1996,79.35,26,31.21549797,121.504276,77943,1,莱兴公寓,31.20762611,121.4784389,105384.6667,,,,,,,
南浦公寓,四号线，交通便利，全明户型，拎包入住,低楼层 (共24层) | 1996年建 | 2室2厅 | 87.58平米 | 南 北,880,"100,480",1996,87.58,26,31.21549797,121.504276,77943,1,丽丽小区,31.21200385,121.488528,97484,,,,,,,
南浦公寓,小区安静 电梯房 楼层好 自住装修 可以拎包入住,低楼层 (共24层) | 1996年建 | 2室1厅 | 79.35平米 | 南,848,"106,869",1996,79.35,26,31.21549797,121.504276,77943,1,丽园新村,31.2111448,121.4900738,116934,,,,,,,
同兴大楼,南京东路旁，人广肩并肩，单价9.9万电梯三房,低楼层 (共13层) | 1992年建 | 3室1厅 | 84.88平米 | 南,840,"98,964",1992,84.88,30,31.2386679,121.485074,77943,1,联海小区,31.20974929,121.4876937,119613,,,,,,,
天天花园,满五年，高区视野开阔，方便看房，单价低仅有8.1万,高楼层 (共32层) | 1997年建 | 3室2厅 | 230.87平米 | 东 东南 南,1880,"81,432",1997,230.87,25,31.21351077,121.4777143,77943,1,马当小区,31.2192659,121.482451,134861,,,,,,,
天天花园,满五年，高区视野开阔，方便看房，单价低仅有8.1万,高楼层 (共32层) | 1997年建 | 3室2厅 | 230.87平米 | 东 东南 南,1880,"81,432",1997,230.87,25,31.21351077,121.4777143,77943,1,蒙西小区,31.21296103,121.4820923,109087.5,,,,,,,
太阳都市花园一期,各付各税，住宅产权，看房提前约,低楼层 (共24层) | 1999年建 | 4室3厅 | 274.05平米 | 南,1900,"69,331",1999,274.05,23,31.22848719,121.4950872,77943,1,蒙自路345弄,31.21018621,121.4856232,115589,,,,,,,
威海苑,人民广场板块+南京西路地铁站+3房2厅2卫+租约+随时签,低楼层 (共18层) | 1999年建 | 3室2厅 | 147.35平米 | 南 西,1290,"87,547",1999,147.35,23,31.23483176,121.4756813,77943,1,蒙自路395弄,31.20855685,121.4861723,110245,,,,,,,
实华公寓,老西门04年顶复，满5年近地铁，板式南北通，房型正气,高楼层 (共18层) | 2003年建 | 4室2厅 | 263.32平米 | 南,2700,"102,537",2003,263.32,19,31.22043684,121.4912167,77943,1,蒙自路601弄,31.20512255,121.4875281,101374,,,,,,,
局三小区,双南全明户型正，售后公房。采光好,高楼层 (共6层) | 1984年建 | 2室0厅 | 46.74平米 | 南,535,"114,463",1984,46.74,38,31.20763299,121.4913817,77943,1,明日星城(二期、三期),31.2202809,121.5007317,133229.5,,,,,,,
局三小区,双南全明户型正，售后公房。采光好,高楼层 (共6层) | 1984年建 | 2室0厅 | 46.74平米 | 南,535,"114,463",1984,46.74,38,31.20763299,121.4913817,77943,1,明日星城（一期）,31.21930078,121.5006728,125368.6667,,,,,,,
局三小区,双南全明户型正，售后公房。采光好,高楼层 (共6层) | 1984年建 | 2室0厅 | 46.74平米 | 南,535,"114,463",1984,46.74,38,31.20763299,121.4913817,77943,1,南浦公寓,31.21549797,121.504276,104739.3333,,,,,,,
局后小区,明星公房+马当站+精装修+满五+3楼＋税费少,中楼层 (共6层) | 1985年建 | 1室1厅 | 36.3平米 | 南,400,"110,193",1985,36.3,37,31.2147841,121.487303,77943,1,南园新村,31.20352778,121.4807533,95430,,,,,,,
市民新村,双南两房厅朝北，户型方正，地铁4/8双轨，看房随时,高楼层 (共6层) | 1965年建 | 2室1厅 | 74.14平米 | 南,889,"119,909",1965,74.14,57,31.65677977,121.5528765,77943,1,桥一小区,31.20868688,121.487565,111683,,,,,,,
市民新村,售后公房，南北通风，地铁4/8双轨，看房随时,高楼层 (共6层) | 1965年建 | 2室1厅 | 65.79平米 | 南,829,"126,007",1965,65.79,57,31.65677977,121.5528765,77943,1,瞿西新村,31.20323983,121.4773061,99921.5,,,,,,,
康瞿小区,此房满五且只有一套，全明户型，采光通风好,高楼层 (共6层) | 1990年建 | 1室1厅 | 36.98平米 | 南,355,"95,998",1990,36.98,32,31.2015414,121.4771498,77943,1,瞿溪新村,31.21177562,121.5016226,100811,,,,,,,
康瞿小区,电梯双南两房，黄浦内环内，配套成熟,中楼层 (共20层) | 1990年建 | 2室1厅 | 68.45平米 | 南,700,"102,265",1990,68.45,32,31.2015414,121.4771498,77943,1,仁宝公寓,31.21473191,121.5040407,102404,,,,,,,
开城新苑,满五年税少，高区采光好阳光充足户型正气，近地铁,高楼层 (共28层) | 2002年建 | 2室1厅 | 115.22平米 | 南 北,1480,"128,450",2002,115.22,20,31.21219472,121.4833051,77943,1,瑞金二路410弄,31.48337754,121.3534391,114632.25,,,,,,,
弘辉名苑,此房满五年，南北通东边套，三房两厅布局好，江景房,高楼层 (共33层) | 2005年建 | 3室2厅 | 124.1平米 | 东 南 北,1850,"149,074",2005,124.1,17,31.20889505,121.4963738,77943,1,实华公寓,31.22043684,121.4912167,102537,,,,,,,
弘辉名苑,此房满五年，南北通东边套，三房两厅布局好，江景房,高楼层 (共33层) | 2005年建 | 3室2厅 | 124.1平米 | 东 南 北,1850,"149,074",2005,124.1,17,31.20889505,121.4963738,77943,1,市民新村,31.65677977,121.5528765,122958,,,,,,,
思南路115弄,思南路朝南少有边套 满五年全天阳光 诚售好房 价可谈,中楼层 (共7层) | 1989年建 | 1室1厅 | 36.79平米 | 南,460,"125,034",1989,36.79,33,31.21431444,121.4774327,77943,1,思南路115弄,31.21431444,121.4774327,125034,,,,,,,
恒升大厦,满五年只此一套+朝南一室户采光好+看房随时诚意卖房,高楼层 (共26层) 1室1厅 | 57.95平米 | 南,570,"98,361",,57.95,,31.21677885,121.489009,77943,1,太阳都市花园一期,31.22848719,121.4950872,69331,,,,,,,
恒升大厦,烫金地段，两房朝南，房型正气，采光视野好，诚意出售,中楼层 (共26层) 2室1厅 | 86.25平米 | 南,830,"96,232",,86.25,,31.21677885,121.489009,77943,1,天天花园,31.21351077,121.4777143,81432,,,,,,,
悦来小区,小面积2房 上家税少 业主诚意出售 看房方便,低楼层 (共16层) | 1993年建 | 2室0厅 | 46.61平米 | 东,515,"110,492",1993,46.61,29,31.22593779,121.5060316,77943,1,同兴大楼,31.2386679,121.485074,98964,,,,,,,
悦来小区,小面积2房 上家税少 业主诚意出售 看房方便,低楼层 (共16层) | 1993年建 | 2室0厅 | 46.61平米 | 东,515,"110,492",1993,46.61,29,31.22593779,121.5060316,77943,1,望江苑,31.20464349,121.4958777,128699,,,,,,,
