place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
万科悦城,嘉定西一公里，高区视野好，三开间朝南，采光佳,高楼层 (共28层) | 2014年建 | 3室2厅 | 89.94平米 | 南,385,"42,807",2014,89.94,8,31.3899493,121.2271218,53545,2,安盛苑,31.26447806,121.3831382,48215.28571,,,,,,,
万科悦城,店长推荐 好楼层 南北通户型 万科品质小区,高楼层 (共28层) | 2014年建 | 3室2厅 | 89.94平米 | 南,380,"42,251",2014,89.94,8,31.3899493,121.2271218,53545,2,安亭大厦,31.30071534,121.1695305,23980,,,43081.11,13066.82,79144,15271,46461
万达城市公寓,万达旁精装修，飞机户型三房 位置好 诚意出售,低楼层 (共17层) | 2011年建 | 3室1厅 | 131.79平米 | 南,795,"60,324",2011,131.79,11,31.24353571,121.3306831,53545,2,安亭中央公园,31.29814384,121.161959,33593,,,,,,,
万达城市公寓,满五年，小区户型好，两房精装，看房租客住，诚意卖.,低楼层 (共17层) | 2010年建 | 2室1厅 | 78.92平米 | 南 北,477,"60,441",2010,78.92,12,31.24353571,121.3306831,53545,2,澳丽映象,31.31044207,121.1564009,31167.66667,,,,,,,
万达城市公寓,双南2房，新上，地铁口，万达旁，品质小区，电梯高层,低楼层 (共17层) | 2011年建 | 2室1厅 | 85.44平米 | 南,498,"58,287",2011,85.44,11,31.24353571,121.3306831,53545,2,宝菊清水园,31.42175971,121.3884008,37041,,,,,,,
万达城市公寓,双南2房，新上，地铁口，万达旁，品质小区，电梯高层,低楼层 (共17层) | 2011年建 | 2室1厅 | 85.44平米 | 南,498,"58,287",2011,85.44,11,31.24353571,121.3306831,53545,2,保利家园北区,31.36155645,121.2652564,49680.66667,,,,,,,
万达城市公寓,双南2房，新上，地铁口，万达旁，品质小区，电梯高层,低楼层 (共17层) | 2011年建 | 2室1厅 | 85.44平米 | 南,498,"58,287",2011,85.44,11,31.24353571,121.3306831,53545,2,保利家园南区,31.36002086,121.266234,50881,,,,,,,
三皇桥小区,2019年 精装修 业主诚心卖房，店长推荐,高楼层 (共7层) | 1982年建 | 2室1厅 | 55.15平米 | 南,160,"29,012",1982,55.15,40,31.38401719,121.2510347,53545,2,保利星海屿筑,31.358128,121.261617,55590,,,,,,,
三皇桥小区,满五，户型好采光好，面积大总价低，诚心出售,高楼层 (共7层) | 1997年建 | 3室2厅 | 119.24平米 | 南,278,"23,315",1997,119.24,25,31.38401719,121.2510347,53545,2,博泰景苑,31.30587688,121.1588092,28391,,,,,,,
上海派,上海派 经典两房户型 近地铁 看房有钥匙 诚意出售,低楼层 (共17层) 2室2厅 | 69.54平米 | 南,268,"38,539",,69.54,,31.29898844,121.2048218,53545,2,博泰新苑,31.308045,121.1576301,28457,,,,,,,
上海派,自带花园，采光棒，楼栋棒，随时看房,低楼层 (共17层) 3室2厅 | 88.53平米 | 南 北,335,"37,841",,88.53,,31.29898844,121.2048218,53545,2,曹江公寓,31.26573365,121.343188,50573,,,,,,,
上海派,近地铁+近 学 校+南北通+高楼层+品质小区+次新房,高楼层 (共16层) 3室2厅 | 88.81平米 | 南 北,339.9,"38,273",,88.81,,31.29898844,121.2048218,53545,2,常发豪庭国际,31.81999828,119.9886758,49027,,,,,,,
上海派,近地铁+近 学 校+南北通+高楼层+品质小区+次新房,高楼层 (共16层) 3室2厅 | 88.81平米 | 南 北,339.9,"38,273",,88.81,,31.29898844,121.2048218,53545,2,城南新村,31.38286962,121.2603219,27610,,,,,,,
上海派,上海派 经典两房户型 近地铁 看房有钥匙 诚意出售,低楼层 (共17层) 2室2厅 | 69.54平米 | 南,268,"38,539",,69.54,,31.29898844,121.2048218,53545,2,城中路153弄,0,0,27356,,,,,,,
上海派,近地铁+近 学 校+南北通+高楼层+品质小区+次新房,高楼层 (共16层) 3室2厅 | 88.81平米 | 南 北,339.9,"38,273",,88.81,,31.29898844,121.2048218,53545,2,大名城名郡,31.29550315,121.1626687,34882,,,,,,,
上海派观澜雅庭,次新房+精装修+业主诚意出售，看房提前预约,低楼层 (共17层) 2室2厅 | 70.92平米 | 南,267,"37,649",,70.92,,31.30007587,121.1986192,53545,2,大学里,31.32104789,121.400386,36851,,,,,,,
上海派观澜雅庭,次新小区+配套齐全+业主诚意售房,低楼层 (共17层) 3室2厅 | 88.79平米 | 南 北,343,"38,631",,88.79,,31.30007587,121.1986192,53545,2,大宅风范城,31.24998777,121.3323533,50826.33333,,,,,,,
上海院子,出租中的小复式 一梯两户 环境优美 交通便利,中楼层 (共8层) | 2017年建 | 3室2厅 | 120.9平米 | 南 北,340,"28,123",2017,120.9,5,31.35355551,121.1828339,53545,2,大众春盛苑,31.27739289,121.2139459,22482,,,,,,,
上海院子,复式，格局好，别墅社区，房龄新。,中楼层 (共8层) | 2017年建 | 3室2厅 | 120.76平米 | 南,335,"27,741",2017,120.76,5,31.35355551,121.1828339,53545,2,德华三村,31.30095131,121.3145687,40796,,,,,,,
上海院子,精装洋房，空调 带地暖 诚意出售,中楼层 (共8层) | 2017年建 | 3室1厅 | 120.76平米 | 南,345,"28,570",2017,120.76,5,31.35355551,121.1828339,53545,2,德华四村,31.30351872,121.3145198,43274.75,,,,,,,
东大小区,此房满五 唯 一；没有增值税，没有个税；户型方正,高楼层 (共6层) | 1989年建 | 2室1厅 | 64.63平米 | 南,193,"29,863",1989,64.63,33,31.39444642,121.2625985,53545,2,德华一村,31.30207388,121.319991,43804,,,,,,,
东大小区,全明户型+楼层低+采光好+ 诚意出售,低楼层 (共6层) | 1997年建 | 2室1厅 | 76.26平米 | 南,229,"30,029",1997,76.26,25,31.39444642,121.2625985,53545,2,德园路375弄,31.29974085,121.315362,32390,,,,,,,
东方商厦,电梯房总价低，出行方便房型正气，满五年税费少,高楼层 (共32层) | 1997年建 | 2室2厅 | 94平米 | 东南,220,"23,405",1997,94,25,31.214466,121.3777721,53545,2,东大小区,31.39444642,121.2625985,29946,,,,,,,
东方商厦,老城版块 高层住宅 视野开阔 诚心出售 已满五年 可谈,高楼层 (共32层) | 2000年建 | 3室2厅 | 137.18平米 | 东 西,315,"22,963",2000,137.18,22,31.214466,121.3777721,53545,2,东方商厦,31.214466,121.3777721,23184,,,,,,,
中房公寓,采光充足，近地铁，近万达，小区位置佳。,中楼层 (共7层) | 2007年建 | 2室2厅 | 75.29平米 | 南 西 北,378,"50,206",2007,75.29,15,31.24962965,121.3176233,53545,2,丰庄二村,31.25133485,121.371066,52517.83333,,,,,,,
中房公寓,采光充足，近地铁，近万达，小区位置佳。,中楼层 (共7层) | 2007年建 | 2室2厅 | 75.29平米 | 南 西 北,378,"50,206",2007,75.29,15,31.24962965,121.3176233,53545,2,丰庄十二街坊,31.25340329,121.3649276,53880.5,,,,,,,
中星海上名豪苑(三期),货币动迁户型方正，采光好，位置好，业主诚意出售！,低楼层 (共18层) | 2012年建 | 2室2厅 | 89.43平米 | 南 北,486,"54,345",2012,89.43,10,31.2720412,121.3363253,53545,2,丰庄十四街坊,31.25434917,121.3619003,54489,,,,,,,
中星海上名豪苑(四期),满五，南北通格局 业主诚心出售 看房方便,低楼层 (共11层) | 2014年建 | 3室2厅 | 131.57平米 | 北 南,750,"57,004",2014,131.57,8,31.2720412,121.3363253,53545,2,丰庄四村,31.25374773,121.3762031,51151,,,,,,,
中星海上名豪苑(四期),楼层好位置佳，安静舒适，光照时间长产权清晰,低楼层 (共18层) | 2014年建 | 2室2厅 | 85.44平米 | 南,480,"56,180",2014,85.44,8,31.2720412,121.3363253,53545,2,丰庄一村,31.25425085,121.373019,51400.66667,,,,,,,
