place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
万春小区,壹师97年小区+近14号线武定路+电梯预装全明边套,中楼层 (共7层) | 1997年建 | 2室1厅 | 57.34平米 | 南 北,680,"118,591",1997,57.34,25,31.23476723,121.4441203,75386,1,艾格美国际公寓,31.23266835,121.4700939,116721,,,,,,,
万春小区,地铁口南北两房+有花园+2年前精装保养好+满五诚售,低楼层 (共6层) | 1982年建 | 2室1厅 | 54.05平米 | 南,660,"122,110",1982,54.05,40,31.23476723,121.4441203,75386,1,爱俪轩,31.222704,121.4450372,90656,,,89353.2,27843.66,193093,47710,85309.5
万春小区,新出满五 1995年竣工 中区楼层 全明户型 阳光充足,中楼层 (共6层) | 1994年建 | 1室2厅 | 48.32平米 | 南,640,"132,451",1994,48.32,28,31.23476723,121.4441203,75386,1,安西小区,31.24521285,121.449014,82701,,,,,,,
万春小区,边套全明+光照充足+14号地铁口+近菜场,高楼层 (共6层) | 1985年建 | 1室1厅 | 38.87平米 | 南,583,"149,988",1985,38.87,37,31.23476723,121.4441203,75386,1,八方小区,31.27830535,121.453492,99845.54545,,,,,,,
万春小区,边套全明+光照充足+14号地铁口+近菜场,高楼层 (共6层) | 1985年建 | 1室1厅 | 38.87平米 | 南,583,"149,988",1985,38.87,37,31.23476723,121.4441203,75386,1,白玉兰馨园,31.30677123,121.437752,62058.75,,,,,,,
万春小区,14号武定路地铁口+97年中区楼层+满五年免增值税+钥匙,中楼层 (共7层) | 1997年建 | 2室1厅 | 82.37平米 | 南 北,916,"111,206",1997,82.37,25,31.23476723,121.4441203,75386,1,包运大厦,31.26224488,121.4850047,76872.66667,,,,,,,
万春小区,门店主推房源！双南双阳台，全明户型！中区楼层采光好,中楼层 (共7层) | 1997年建 | 3室2厅 | 93.8平米 | 南,1120,"119,403",1997,93.8,25,31.23476723,121.4441203,75386,1,宝昌路620弄,31.26675688,121.4782314,69864,,,,,,,
万春小区,预装电梯 带租赁车位 壹师97年公房 边套全明无遮挡,高楼层 (共7层) | 1997年建 | 2室2厅 | 58.91平米 | 南,710,"120,523",1997,58.91,25,31.23476723,121.4441203,75386,1,宝华现代城,31.28677187,121.460622,111421,,,,,,,
万春小区,万春小区 2室0厅 南,中楼层 (共7层) | 1997年建 | 2室0厅 | 50.32平米 | 南,650,"129,174",1997,50.32,25,31.23476723,121.4441203,75386,1,宝通大楼,31.26195912,121.4845866,82003,,,,,,,
万春小区,曹家渡板块+两房一厅+闹中取静+武定路地铁,低楼层 (共6层) | 1982年建 | 2室1厅 | 56.02平米 | 南 北,728,"129,954",1982,56.02,40,31.23476723,121.4441203,75386,1,宝通路442号,31.2652404,121.4818143,68606,,,,,,,
万航公寓,正气两房，精装修拎包入住税费少，总价低，业主诚意卖,低楼层 (共24层) | 1993年建 | 2室1厅 | 71.43平米 | 西南,750,"104,998",1993,71.43,29,31.23219013,121.438129,75386,1,宝通路466弄,31.26531109,121.4817761,65572,,,,,,,
万航公寓,老静安满5+双南户型双阳台+附带20平院子+全新装修,低楼层 (共24层) | 1993年建 | 2室1厅 | 80.38平米 | 南,815,"101,394",1993,80.38,29,31.23219013,121.438129,75386,1,保德公寓,31.32152889,121.450119,57622.5,,,,,,,
万航渡路433弄,静安寺商圈，14号线地铁站，近万小,高楼层 (共6层) | 1990年建 | 2室1厅 | 55平米 | 南,591,"107,455",1990,55,32,31.23165162,121.4429612,75386,1,保德路1010弄,31.32262191,121.457929,62491.33333,,,,,,,
万航渡路433弄,满五年，精装修，楼层采光好，看房方便诚意出售,中楼层 (共6层) | 1990年建 | 2室0厅 | 55平米 | 南 北,600,"109,091",1990,55,32,31.23165162,121.4429612,75386,1,保德路1120弄,31.32168645,121.4556221,57849,,,,,,,
万荣小区,大宁南北两房，采光通风好，业主诚意,低楼层 (共6层) | 1994年建 | 2室1厅 | 50.76平米 | 南,343,"67,573",1994,50.76,28,31.23528017,121.4393211,75386,1,保德路241弄,31.32331992,121.4700683,59946,,,,,,,
万荣小区,静安区大宁板块，一梯三户，低总价一房。,高楼层 (共6层) | 1994年建 | 1室1厅 | 42.09平米 | 南,275,"65,337",1994,42.09,28,31.23528017,121.4393211,75386,1,保德路425弄,31.32137072,121.4651443,53461,,,,,,,
万荣小区,静安区 中环内 近大宁商圈 精装一房 采光好 视野好,高楼层 (共6层) | 1994年建 | 1室1厅 | 43.68平米 | 南,290,"66,392",1994,43.68,28,31.23528017,121.4393211,75386,1,保平小区,31.32104812,121.458039,60792,,,,,,,
万荣小区,中环内，精装修一房，采光视野好,高楼层 (共6层) | 1994年建 | 1室1厅 | 44.09平米 | 西北,284,"64,414",1994,44.09,28,31.23528017,121.4393211,75386,1,北海新苑,31.28407824,121.4321429,66027.4,,,,,,,
万荣小区,全明户型，每个功能间都有窗户，看房方便,低楼层 (共6层) | 1994年建 | 1室1厅 | 44.09平米 | 南,284,"64,414",1994,44.09,28,31.23528017,121.4393211,75386,1,北美公寓,31.26440846,121.465179,82997,,,,,,,
万荣小区,中环内 低单价 边套全明二房 客厅宽敞 税费少,高楼层 (共6层) | 1996年建 | 2室1厅 | 69.99平米 | 南,448,"64,010",1996,69.99,26,31.23528017,121.4393211,75386,1,北苑大厦,31.25019762,121.4717651,58289,,,,,,,
万荣新苑,诚意 全明一梯两户，层高2.9米，大宁音乐广场 ，急售,高楼层 (共6层) | 1994年建 | 2室1厅 | 76.44平米 | 南,485,"63,449",1994,76.44,28,31.29276198,121.4436413,75386,1,奔腾新干线,31.2630114,121.4836852,81022,,,,,,,
万荣新苑,拎包入住精装修，全南两房，不满5年，税费各付采光好,高楼层 (共6层) | 1994年建 | 2室1厅 | 59.64平米 | 南,405,"67,908",1994,59.64,28,31.29276198,121.4436413,75386,1,博苑公寓,31.26236982,121.4655036,77416,,,,,,,
万荣阳光苑,大宁板块电梯房一梯两户，满五年税费少，3开间朝南,低楼层 (共14层) | 2003年建 | 2室2厅 | 115.87平米 | 南 北,870,"75,085",2003,115.87,19,31.29645508,121.4477624,75386,1,沧州大楼,31.23216728,121.4608215,91745,,,,,,,
万荣阳光苑,钥匙房高区视野好，3开间朝南电梯房一梯两户满五年,中楼层 (共14层) | 2003年建 | 2室2厅 | 117.01平米 | 南 北,986,"84,267",2003,117.01,19,31.29645508,121.4477624,75386,1,昌平路984弄,31.23943508,121.4439642,94036,,,,,,,
万荣阳光苑,四开间朝南 南北通透位置安静采光良好 生活方便近地铁,低楼层 (共13层) | 2003年建 | 3室2厅 | 134.79平米 | 南 北,1130,"83,835",2003,134.79,19,31.29645508,121.4477624,75386,1,场中路2471弄,0,0,59291,,,,,,,
三乐新村,低单价低总价老静安一房地段好房,高楼层 (共6层) | 1981年建 | 1室1厅 | 40.58平米 | 南,382,"94,136",1981,40.58,41,31.24524071,121.4580246,75386,1,场中路2601弄,31.3119865,121.4472012,58907,,,,,,,
三乐新村,老静安近地铁 南北通风 采光无遮挡 总价低 诚售随时看,高楼层 (共6层) | 1983年建 | 2室1厅 | 53.81平米 | 南 北,490,"91,062",1983,53.81,39,31.24524071,121.4580246,75386,1,场中小区,31.3124849,121.457514,53686.75,,,,,,,
