place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
一品漫城(一期)(公寓),前滩南，近地铁，户型好，双南南北通，中高楼层,中楼层 (共13层) | 2008年建 | 3室2厅 | 133.5平米 | 南 北,1200,"89,888",2008,133.5,14,31.12354001,121.5027034,66385,2,爱博二村,31.2115822,121.3130358,58514,,,,,,,
一品漫城(一期)(公寓),满五年，税费少，近地铁，看房方便,中楼层 (共13层) | 2008年建 | 2室1厅 | 90.88平米 | 南,815,"89,679",2008,90.88,14,31.12354001,121.5027034,66385,2,爱博六村,31.22688719,121.3143973,55280.66667,,,68091.50172,17404.00836,108498,28669,67967
一品漫城(五期),前滩南+2017次新房+低总价南北两房+精装拎包入住,低楼层 (共13层) 2室2厅 | 79.45平米 | 南,725,"91,253",,79.45,,31.12303682,121.501591,66385,2,爱博三村,31.21799686,121.3168348,56061.5,,,,,,,
一品漫城(四期)(公寓),前滩南+高区三房+精装修！！！！,中楼层 (共12层) | 2015年建 | 3室2厅 | 136平米 | 南,1260,"92,648",2015,136,7,31.11984693,121.4947147,66385,2,爱博四村,31.21956197,121.3130648,56664.33333,,,,,,,
一品漫城(四期)(公寓),前滩南，近地铁，满五年带车位，户型好，环境好,中楼层 (共12层) | 2014年建 | 4室2厅 | 186.12平米 | 南 北,1860,"99,936",2014,186.12,8,31.11984693,121.4947147,66385,2,爱博五村,31.22045854,121.3154947,56391.8,,,,,,,
一品漫城(四期)(公寓),满5税少，装修好，户型方正，前滩辐射！,低楼层 (共12层) | 2014年建 | 3室2厅 | 165平米 | 南,1450,"87,879",2014,165,8,31.11984693,121.4947147,66385,2,爱庐世纪新苑,31.08556484,121.4276228,56077.65217,,,,,,,
一品漫城三期（公寓）,前滩南次新小区+满五年weiyi+品质小区+河景房+近地铁,中楼层 (共11层) | 2012年建 | 3室2厅 | 145.74平米 | 南 北,1250,"85,770",2012,145.74,10,31.11981192,121.4981771,66385,2,八月桂林,31.25184215,121.4894174,101089,,,,,,,
一品漫城三期（公寓）,2013年次新小区+满五年+高品质+河景房+绿化40%,低楼层 (共11层) | 2012年建 | 2室2厅 | 94.13平米 | 南 北,818,"86,902",2012,94.13,10,31.11981192,121.4981771,66385,2,白浪新村,31.83559998,121.3384021,82600,,,,,,,
一品漫城二期（公寓）,前滩南低密度商品房+前排别墅景观楼层+视野好+近地铁,高楼层 (共13层) 2室2厅 | 90.64平米 | 南,815,"89,917",,90.64,,31.12212184,121.500921,66385,2,白雪公主,31.14396826,121.3628679,92984,,,,,,,
一品漫城二期（公寓）,前滩南地铁8号线+南北通大五房 景观楼层.精装拎包入住,高楼层 (共11层) 5室2厅 | 231.36平米 | 南,2100,"90,768",,231.36,,31.12212184,121.500921,66385,2,柏林春天（二期）,31.10618408,121.4008861,78192.16667,,,,,,,
七宝老街,9号线地铁口旁，近万科广场，七宝老街，楼层好位置佳,低楼层 (共6层) | 1992年建 | 2室1厅 | 66.07平米 | 南,528,"79,916",1992,66.07,30,31.1600987,121.3601213,66385,2,柏林春天（一期）,31.10906826,121.4012304,81451,,,,,,,
