place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
万科新里程,杨思前滩+万科物业+满五年少税+采光充足+南北户型,中楼层 (共14层) | 2007年建 | 3室2厅 | 119.2平米 | 南,1230,"103,188",2007,119.2,15,31.16586444,121.5366326,45000,3,艾东小区,31.188534,121.5306072,67900.5,,,,,,,
万科新里程,前滩+万科品质+garden decoration+业主very诚意,低楼层 (共18层) | 2007年建 | 3室2厅 | 135.85平米 | 南,1370,"100,847",2007,135.85,15,31.16586444,121.5366326,45000,3,艾南小区,31.17544987,121.5370037,58021,,,61493.80069,31498.79596,195827,16160,55082.5
万科新里程,前滩杨思+满五年+万科品质+精装修+采光充足+南北户型,中楼层 (共11层) | 2007年建 | 2室2厅 | 94.23平米 | 南 北,959,"101,773",2007,94.23,15,31.16586444,121.5366326,45000,3,艾山新村,31.83559998,121.3384021,60775,,,,,,,
万科新里程,前滩+万科品质+花园位置+高楼层+税费少+业主十分诚意,中楼层 (共18层) | 2007年建 | 3室2厅 | 136.22平米 | 南,1400,"102,775",2007,136.22,15,31.16586444,121.5366326,45000,3,安阁苑,31.09326635,121.5975186,47520,,,,,,,
万科新里程,前滩+万科品质+一套房+garden decoration+业主诚意,高楼层 (共13层) | 2007年建 | 3室2厅 | 131.56平米 | 南,1300,"98,815",2007,131.56,15,31.16586444,121.5366326,45000,3,安康新村,31.83559998,121.3384021,39004,,,,,,,
万科新里程,金色中环+万科品质+采光好+飞机户型+满五税费少+明珠c,中楼层 (共10层) | 2006年建 | 3室2厅 | 131.4平米 | 南 北,1308,"99,544",2006,131.4,16,31.16586444,121.5366326,45000,3,百晨小区,31.1814327,121.7574903,31801,,,,,,,
万科海上传奇,万科海传三房两卫，精装修有地暖，满五年税少，沿河,低楼层 (共8层) | 2015年建 | 3室2厅 | 112.76平米 | 南,1133,"100,479",2015,112.76,7,31.16449411,121.573983,45000,3,百花新村,31.11683485,121.5920355,39438,,,,,,,
万科海上传奇(三期),万科物业 精装修带地暖和空调 位置好 诚意出售,低楼层 (共20层) | 2017年建 | 3室2厅 | 122.16平米 | 南,1370,"112,149",2017,122.16,5,31.16574926,121.5742057,45000,3,百欣苑,31.17638989,121.758401,33544,,,,,,,
万科海上传奇(三期),金色中环 万科2017年次新大四房 高区临河景观,高楼层 (共20层) | 2017年建 | 4室2厅 | 158平米 | 南,1800,"113,925",2017,158,5,31.16574926,121.5742057,45000,3,宝华海尚郡领,31.18585144,121.5525243,121545,,,,,,,
万科海上传奇(三期),金色中环 万科海上传奇三期 南北大三房 有产权车位,低楼层 (共20层) | 2017年建 | 3室2厅 | 122.17平米 | 南 北,1340,"109,684",2017,122.17,5,31.16574926,121.5742057,45000,3,宝龙世家,30.87432784,121.857744,26223,,,,,,,
