place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
万千公寓,交通便利，采光充足，配套齐全，南北通透,低楼层 (共28层) | 2000年建 | 3室2厅 | 127.24平米 | 南 北,775,"60,909",2000,127.24,22,31.26250926,121.437575,70500,1,爱建新村,31.24945384,121.404576,65306,,,,,,,
万里一期,钢筋混凝土结构 房子满五年 税费少,高楼层 (共6层) | 1999年建 | 2室2厅 | 106.82平米 | 南,758,"70,961",1999,106.82,23,31.27246142,121.4128823,70500,1,安达家园,31.29729823,121.3492015,50137,,,70143.85689,13052.22982,117815,40661,67911.5
万里一期,满五only one 南北通+有露台+地铁11号线，15号线，20,高楼层 (共6层) | 1999年建 | 2室2厅 | 116.95平米 | 南 北,800,"68,406",1999,116.95,23,31.27246142,121.4128823,70500,1,安居古浪新苑,31.29103775,121.3925065,57764.875,,,,,,,
万里一期,两房两卫，适合两孩客户，带老人一块居住,低楼层 (共10层) | 1999年建 | 2室2厅 | 93.96平米 | 南 北,657,"69,924",1999,93.96,23,31.27246142,121.4128823,70500,1,安居金祁新城,31.29858246,121.3916185,62271,,,,,,,
万里欣苑,西边套大三房+业主诚意出售+税费少,低楼层 (共18层) | 2006年建 | 3室2厅 | 137.72平米 | 南 西 北,1099,"79,800",2006,137.72,16,31.26727574,121.424885,70500,1,安居锦竹苑,31.29617258,121.3542338,49853.25,,,,,,,
万里真金苑,中间楼层 南北通户型 满五年 fu近绿化带,中楼层 (共6层) | 1999年建 | 3室2厅 | 129.34平米 | 南 北,951,"73,528",1999,129.34,23,31.27357601,121.4128762,70500,1,安居兰庭,31.24916186,121.409915,98346,,,,,,,
万里真金苑,万里板块全明三房，近地铁公园，诚意出售,高楼层 (共7层) | 1999年建 | 3室2厅 | 124.28平米 | 南 北,938,"75,475",1999,124.28,23,31.27357601,121.4128762,70500,1,安塞小区,31.26994848,121.4319424,66728,,,,,,,
万里真金苑,此房满五年，近公园，小区中间位置，生活便利,低楼层 (共18层) | 2001年建 | 3室1厅 | 156.24平米 | 南,850,"54,404",2001,156.24,21,31.27357601,121.4128762,70500,1,澳门大厦,31.25048203,121.4422158,70803,,,,,,,
万里真金苑,南北通2房，精装修，双阳台，近地铁，不靠马路,中楼层 (共18层) | 2001年建 | 2室2厅 | 118.28平米 | 南,898,"75,922",2001,118.28,21,31.27357601,121.4128762,70500,1,澳门小区,31.25130344,121.4429441,90969,,,,,,,
万里雅筑,品质小区/中高区/通风好/光线足/居家选择,中楼层 (共14层) | 2006年建 | 3室2厅 | 131.53平米 | 南 北,1150,"87,433",2006,131.53,16,31.27132776,121.4102936,70500,1,澳门新苑,31.25298584,121.4534241,78374,,,,,,,
上海星港,05年小区，带4个阳台，低于小区均价，看花园,低楼层 (共18层) | 2005年建 | 2室2厅 | 110.73平米 | 南,990,"89,407",2005,110.73,17,31.25040261,121.4189781,70500,1,巴黎之春,31.27056031,121.4128004,72700.75,,,,,,,
上海本色,精装复式大4房，有固定车位，诚意售房,高楼层 (共21层) | 2002年建 | 4室2厅 | 239.31平米 | 南 北,1880,"78,560",2002,239.31,20,31.23913389,121.435095,70500,1,白大楼,31.25083504,121.4317958,75763.66667,,,,,,,
上海豪园,满五视野开阔，南北大露台，南北通透，近13+14地铁,高楼层 (共6层) | 2003年建 | 3室2厅 | 145.36平米 | 南 北,1135,"78,083",2003,145.36,19,31.2461632,121.3791793,70500,1,白玉大楼,31.23795406,121.4202505,76494,,,,,,,
上钞桂花苑,聚焦A房，新上笋盘，满五税费少，小区中间位置,低楼层 (共6层) | 1997年建 | 2室2厅 | 73.26平米 | 南,570,"77,806",1997,73.26,25,31.24429497,121.3954285,70500,1,白玉新村,31.23902359,121.4216995,81360.16667,,,,,,,
上钞桂花苑,三开间朝南，带31平三个院子，税少，不靠马路随时看房,低楼层 (共6层) | 1997年建 | 2室1厅 | 70.89平米 | 南,590,"83,228",1997,70.89,25,31.24429497,121.3954285,70500,1,半岛花园,31.24708685,121.495721,96253,,,,,,,
上钞桂花苑,孤舟蓑笠翁，独钓寒江雪，桂花苑垂钓区，欢迎品鉴,低楼层 (共6层) | 1998年建 | 1室1厅 | 42.05平米 | 东南,330,"78,479",1998,42.05,24,31.24429497,121.3954285,70500,1,北巷小区,0,0,79682,,,,,,,
上钞桂花苑,上钞桂花苑 2室2厅 南,低楼层 (共6层) | 1997年建 | 2室2厅 | 94.65平米 | 南,794,"83,889",1997,94.65,25,31.24429497,121.3954285,70500,1,曹家巷小区,31.15903128,121.565853,93753.5,,,,,,,
上钞桂花苑,诚意很重要，双地铁，临河而居，双南两房，花园景观,高楼层 (共6层) | 1997年建 | 2室1厅 | 85.47平米 | 南,636,"74,413",1997,85.47,25,31.24429497,121.3954285,70500,1,曹杨八村,31.25292889,121.411547,57760.125,,,,,,,
