place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
万寿新村(青浦),青浦城区板块生活配套设施齐全，满五税费少，全明户型,高楼层 (共6层) | 1999年建 | 3室1厅 | 72.8平米 | 南,253,"34,753",1999,72.8,23,31.16526383,121.117564,47333,3,城东新村一村,31.15391317,121.130137,28801,,,,,,,
万寿新村(青浦),*，03年现浇房，三开间朝南，南北通，诚心出售,中楼层 (共5层) | 2003年建 | 3室2厅 | 138.47平米 | 南,430,"31,054",2003,138.47,19,31.16526383,121.117564,47333,3,翠苑(东区),31.12754563,121.0489654,29746,,,38315.75,10132.1,68853,15103,37858
万科有山,洋房精装修，拎包入住，万科物业，品质小区,低楼层 (共6层) | 2016年建 | 2室1厅 | 76.14平米 | 南,430,"56,475",2016,76.14,6,31.13168987,121.238077,47333,3,大发融悦,31.14198031,121.0929122,52195.25,,,,,,,
万科有山,业主置换，诚意度高，少有的两房！！！,高楼层 (共6层) 2室1厅 | 76平米 | 南,439,"57,764",,76,,31.13168987,121.238077,47333,3,淀湖山庄,31.1139894,121.0713531,22442.83333,,,,,,,
万科有山,万科品质洋房社区，邻近协和，环境优美,低楼层 (共6层) 2室1厅 | 76.14平米 | 南,433,"56,869",,76.14,,31.13168987,121.238077,47333,3,东渡青筑,31.14517014,121.0990522,40138.75,,,,,,,
万科有山,业主置换，诚意度高，少有的两房！！！,高楼层 (共6层) 2室1厅 | 76平米 | 南,439,"57,764",,76,,31.13168987,121.238077,47333,3,东渡悦来城,31.14173189,121.087861,49840,,,,,,,
上海豪都国际花园(公寓),位置佳 精装修 户型好 诚心出售,高楼层 (共6层) | 1996年建 | 3室2厅 | 116.53平米 | 南,440,"37,759",1996,116.53,26,31.16947183,121.283085,47333,3,都汇华庭,31.18190183,121.1306552,27379,,,,,,,
上海豪都国际花园(公寓),位置佳 精装修 户型好 诚心出售,高楼层 (共6层) | 1996年建 | 3室2厅 | 116.53平米 | 南,440,"37,759",1996,116.53,26,31.16947183,121.283085,47333,3,富力桃园(公寓),31.1738169,121.096474,41382.5,,,,,,,
上海豪都国际花园(公寓),位置佳 精装修 户型好 诚心出售,高楼层 (共6层) | 1998年建 | 3室1厅 | 120.26平米 | 南,460,"38,251",1998,120.26,24,31.16947183,121.283085,47333,3,高景花园,31.17237515,121.2943633,49582.5,,,,,,,
东渡悦来城,17号线地铁口，门口东渡蛙城，开发商精装交付，采光好,低楼层 (共27层) 2室1厅 | 90.29平米 | 南,450,"49,840",,90.29,,31.14173189,121.087861,47333,3,葛洲坝玉兰花园,31.17700217,121.0970645,47065,,,,,,,
东渡悦来城,淀山湖大道地铁站的次新商品房小区，开发商精装修,中楼层 (共27层) | 2018年建 | 3室2厅 | 90.29平米 | 南,450,"49,840",2018,90.29,4,31.14173189,121.087861,47333,3,桂花园(青浦),31.69368164,121.4899069,32766,,,,,,,
东渡悦来城,淀山湖大道地铁站的次新商品房小区，开发商精装修,中楼层 (共27层) | 2018年建 | 3室2厅 | 90.29平米 | 南,450,"49,840",2018,90.29,4,31.14173189,121.087861,47333,3,海棠馨苑南区,31.18565697,121.2497963,50797,,,,,,,
东渡青筑,新上笋盘 小户型 诚心卖 总价低 税费少,高楼层 (共6层) | 2014年建 | 2室2厅 | 73.3平米 | 南,275,"37,518",2014,73.3,8,31.14517014,121.0990522,47333,3,海天花园(公寓),31.17420774,121.3161605,52754,,,,,,,
东渡青筑,新上笋盘 小户型 诚心卖 总价低 税费少,高楼层 (共6层) | 2014年建 | 2室2厅 | 73.3平米 | 南,275,"37,518",2014,73.3,8,31.14517014,121.0990522,47333,3,恒大御澜庭二期,31.13008589,121.028928,34343,,,,,,,
东渡青筑,精装两房 * 中高层 采光好 配套齐全 可直接住,高楼层 (共16层) | 2014年建 | 2室2厅 | 93.57平米 | 南,430,"45,955",2014,93.57,8,31.14517014,121.0990522,47333,3,虹桥宝龙城,31.18370473,121.7165123,39720,,,,,,,
东渡青筑,满五税费低+精装拎包入住+中间楼层采光好,高楼层 (共6层) | 2013年建 | 2室1厅 | 70.52平米 | 南,279,"39,564",2013,70.52,9,31.14517014,121.0990522,47333,3,虹桥正荣府,30.82794549,104.1570311,62042,,,,,,,
中南君悦府,近地铁，次新商品房，精装修中空地暖，车位，成熟商圈,低楼层 (共12层) 2室1厅 | 67.69平米 | 南 北,350,"51,707",,67.69,,31.14048685,121.083778,47333,3,华骥苑,31.14959337,121.1387609,32938.375,,,,,,,
中南君悦府,地铁口次新商品房，精装修两房，总价低,高楼层 (共14层) | 2018年建 | 2室2厅 | 74.89平米 | 南,390,"52,077",2018,74.89,4,31.14048685,121.083778,47333,3,华科东路180弄,31.16480234,121.1539629,38149,,,,,,,
中核锦悦府,虹桥国展旁，2号地铁，观花园前后无遮挡,低楼层 (共12层) | 2020年建 | 4室2厅 | 201.88平米 | 南,1390,"68,853",2020,201.88,2,31.18536989,121.293849,47333,3,佳乐苑,31.16916547,121.1477115,38974.88889,,,,,,,
中铁逸都,"钥匙快来了，青浦新城CBD,精装修，次新小区",低楼层 (共10层) | 2014年建 | 2室2厅 | 91.76平米 | 南,385,"41,958",2014,91.76,8,31.15872388,121.135381,47333,3,金地格林郡,31.13937902,121.1093948,38173.0625,,,,,,,
仁恒运杰河滨花园,仁恒运杰大四房，四开间朝南，前后无遮挡采光足,低楼层 (共17层) | 2006年建 | 4室2厅 | 153.99平米 | 南,580,"37,665",2006,153.99,16,31.14538394,121.13731,47333,3,金瑞苑 北苑,31.19267678,121.2385979,40001,,,,,,,
仁恒运杰河滨花园,仁恒运杰新上两房 户型方正 精装修 房东诚心卖 ！！,中楼层 (共11层) | 2010年建 | 2室2厅 | 90.47平米 | 南,340,"37,582",2010,90.47,12,31.14538394,121.13731,47333,3,锦苑,31.12358608,121.0525699,26476,,,,,,,
仁恒运杰河滨花园,仁恒新上复式，景观楼层，视野开阔，满五且名下一套,高楼层 (共11层) | 2010年建 | 2室2厅 | 90.47平米 | 南,340,"37,582",2010,90.47,12,31.14538394,121.13731,47333,3,景瑞城中公园,31.16306883,121.1204401,50373,,,,,,,
仁恒运杰河滨花园,仁恒新上复式，景观楼层，视野开阔，满五且名下一套,高楼层 (共11层) | 2010年建 | 2室2厅 | 90.47平米 | 南,340,"37,582",2010,90.47,12,31.14538394,121.13731,47333,3,康虹花园(公寓),31.17983884,121.32087,42030,,,,,,,
佳乐苑,99%一手动迁满五 南北通 大两房 一梯两户得房率高,高楼层 (共6层) | 2005年建 | 2室2厅 | 95.87平米 | 南,378,"39,429",2005,95.87,17,31.16916547,121.1477115,47333,3,康虹园,31.18314517,121.320695,45659,,,,,,,
佳乐苑,一手动迁满五 南北大三房 一梯两户得房率高,高楼层 (共6层) | 2005年建 | 3室2厅 | 129.71平米 | 南,460,"35,464",2005,129.71,17,31.16916547,121.1477115,47333,3,龙湖滟澜山(公寓),31.1390568,121.233651,48998,,,,,,,
佳乐苑,佳乐苑 一手动迁 户型好 宝龙广场 青浦新城 中山医院,低楼层 (共11层) | 2005年建 | 3室2厅 | 136.76平米 | 南,510,"37,292",2005,136.76,17,31.16916547,121.1477115,47333,3,绿地启航城,31.29088268,121.1292551,22687.05263,,,,,,,
佳乐苑,满五 二改三， 一梯两户得房率,中楼层 (共6层) | 2005年建 | 3室2厅 | 94.9平米 | 南,378,"39,832",2005,94.9,17,31.16916547,121.1477115,47333,3,绿地时代嘉苑,31.28551564,121.1387664,25156.14286,,,,,,,
佳乐苑,佳乐苑 3室2厅 南,高楼层 (共6层) | 2005年建 | 3室2厅 | 94.9平米 | 南,378,"39,832",2005,94.9,17,31.16916547,121.1477115,47333,3,绿地时代名邸,31.28246761,121.148536,25298.51724,,,,,,,
