place,title,msg,price,per_meter,year,area,age
东业大厦,满五税费少，不是独栋大楼，板式全明3+1房，诚意出售,低楼层 (共25层) | 2001年建 | 3室2厅 | 170.86平米 | 南 北,1770,"103,594",2001,170.86,21
东业大厦,满五税费少，不是独栋大楼，板式全明3+1房，诚意出售,低楼层 (共25层) | 2001年建 | 3室2厅 | 170.86平米 | 南 北,1770,"103,594",2001,170.86,21
东晖花苑,市区精装品质大一房 视野开阔,中楼层 (共29层) | 2004年建 | 1室2厅 | 81.35平米 | 北,820,"100,800",2004,81.35,18
中福花苑,复式房源 得房率高 满五税费少 近地铁,低楼层 (共15层) | 2003年建 | 1室1厅 | 42.46平米 | 北,490,"115,403",2003,42.46,19
中福花苑,买进价高税费少，自住精装，边套全明,中楼层 (共19层) | 2003年建 | 1室1厅 | 49.53平米 | 西,598,"120,735",2003,49.53,19
中福花苑,高区采光好，复式得房率高，满五税费少，装修好入住,高楼层 (共19层) | 2003年建 | 2室1厅 | 49.53平米 | 西,580,"117,101",2003,49.53,19
中福花苑,精装一房，高楼层可看江景，交通便利，带外阳台,高楼层 (共19层) | 2003年建 | 1室1厅 | 58.66平米 | 南,700,"119,332",2003,58.66,19
中福花苑,复式房源 得房率高 满五税费少 近地铁,低楼层 (共15层) | 2003年建 | 1室1厅 | 42.46平米 | 北,490,"115,403",2003,42.46,19
中福花苑,精装一房，高楼层可看江景，交通便利，带外阳台,高楼层 (共19层) | 2003年建 | 1室1厅 | 58.66平米 | 南,700,"119,332",2003,58.66,19
中福花苑,loft户型，装修保养好、得房率高，内环内低总价、诚售,低楼层 (共19层) | 2003年建 | 2室1厅 | 55.07平米 | 东南,650,"118,032",2003,55.07,19
中福花苑,loft户型，得房率高，内环内低总价电梯房,高楼层 (共19层) | 2003年建 | 1室1厅 | 57.38平米 | 东南,675,"117,637",2003,57.38,19
丽丽小区,售后公房、户型全明、看房方便、诚意出售,高楼层 (共6层) | 1986年建 | 1室1厅 | 37.75平米 | 南,368,"97,484",1986,37.75,36
丽丽小区,售后公房、户型全明、看房方便、诚意出售,高楼层 (共6层) | 1986年建 | 1室1厅 | 37.75平米 | 南,368,"97,484",1986,37.75,36
丽园新村,全明户型，楼层好，朝南采光无遮挡，户型正气,中楼层 (共6层) | 1986年建 | 2室0厅 | 49.43平米 | 南,578,"116,934",1986,49.43,36
五里桥路260弄,房东诚意，上家税费少，户型好，电梯房,中楼层 (共7层) | 1988年建 | 2室0厅 | 49.7平米 | 南,640,"128,773",1988,49.7,34
五金新邨,满五年，中区采光好1房1厅，地段好，交通便利，精装修,中楼层 (共5层) | 1976年建 | 1室1厅 | 50.14平米 | 东 西,660,"131,632",1976,50.14,46
仁宝公寓,溫馨全明兩房 可看江景 視野好 近地鐵,高楼层 (共27层) | 1996年建 | 2室2厅 | 92.77平米 | 南 北,950,"102,404",1996,92.77,26
仁宝公寓,溫馨全明兩房 可看江景 視野好 近地鐵,高楼层 (共27层) | 1996年建 | 2室2厅 | 92.77平米 | 南 北,950,"102,404",1996,92.77,26
南园新村,售后公房税费低，业主诚意出售，出门即地铁，位于内环,高楼层 (共6层) | 1988年建 | 2室0厅 | 44.04平米 | 南 北,412,"93,552",1988,44.04,34
南园新村,地段好 近地铁 中间楼层 采光通风好 诚意卖,中楼层 (共6层) | 1988年建 | 2室1厅 | 44.19平米 | 南,430,"97,308",1988,44.19,34
南浦公寓,小区安静 电梯房 楼层好 自住装修 可以拎包入住,低楼层 (共24层) | 1996年建 | 2室1厅 | 79.35平米 | 南,848,"106,869",1996,79.35,26
南浦公寓,四号线，交通便利，全明户型，拎包入住,低楼层 (共24层) | 1996年建 | 2室2厅 | 87.58平米 | 南 北,880,"100,480",1996,87.58,26
南浦公寓,小区安静 电梯房 楼层好 自住装修 可以拎包入住,低楼层 (共24层) | 1996年建 | 2室1厅 | 79.35平米 | 南,848,"106,869",1996,79.35,26
