place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
万业梦立方,16年次新房 南北通 边套少有2房 业主诚意出售,低楼层 (共10层) 3室2厅 | 81.45平米 | 南,440,"54,021",,81.45,,31.13166692,121.2635037,52195,3,安信湖畔天地坊,31.03960439,121.2211946,39262.4,,,,,,,
万宇阳光苑,房子南北户型，视野好，业主诚意出售,高楼层 (共17层) | 2009年建 | 1室1厅 | 63.37平米 | 南,216,"34,086",2009,63.37,13,31.06763762,121.3217462,52195,3,奥林匹克花园,31.15198685,121.33381,51377,,,42874.2,9296.95,85370,22059,41112.5
万科云间传奇,万科云间传奇 精装小三房 拎包入住 诚售,高楼层 (共8层) 3室2厅 | 89.26平米 | 南,450,"50,415",,89.26,,31.04544188,121.186055,52195,3,白洋苑,31.02457817,121.2225846,32294.66667,,,,,,,
万科梦想派,房子满五年，房东置换诚意出售，楼层好，装修保养好,低楼层 (共22层) | 2015年建 | 3室2厅 | 85.22平米 | 南,520,"61,019",2015,85.22,7,31.16334748,121.4400079,52195,3,白云新村,31.01169049,121.2603153,29023,,,,,,,
万科梦想派,房子满五年，房东置换诚意出售，楼层好，装修保养好,低楼层 (共22层) | 2015年建 | 3室2厅 | 85.22平米 | 南,520,"61,019",2015,85.22,7,31.16334748,121.4400079,52195,3,保利翡丽公馆,31.12028182,121.266499,65757.4,,,,,,,
万科白马花园(公寓),新上3房，全明，采光好，总价低，诚意卖！,中楼层 (共5层) | 2007年建 | 3室2厅 | 88.1平米 | 南,450,"51,079",2007,88.1,15,31.08299222,121.3470437,52195,3,保利公寓,31.2670748,121.5333587,48126.33333,,,,,,,
万科白马花园(公寓),露台15平左右 边套 厨卫全明 精装修 有地暖！,中楼层 (共5层) | 2007年建 | 3室2厅 | 89.9平米 | 南,465,"51,725",2007,89.9,15,31.08299222,121.3470437,52195,3,保利西子湾,31.06680284,121.241312,58853.22222,,,,,,,
万科白马花园(公寓),视野开阔 装修保养好 位置好,中楼层 (共6层) | 2007年建 | 1室1厅 | 51.11平米 | 南,258,"50,480",2007,51.11,15,31.08299222,121.3470437,52195,3,贝尚湾(公寓),31.15241627,121.3263506,62768.57143,,,,,,,
万科白马花园(公寓),露台15平左右 边套 厨卫全明 精装修 有地暖！,中楼层 (共5层) | 2007年建 | 3室2厅 | 89.9平米 | 南,465,"51,725",2007,89.9,15,31.08299222,121.3470437,52195,3,菜花泾小区,31.0182884,121.2471897,29308,,,,,,,
万科白马花园(公寓),：新上3房，中间位置，满五税少，采光好，诚意卖！,中楼层 (共5层) | 2007年建 | 3室2厅 | 88.01平米 | 南,435,"49,427",2007,88.01,15,31.08299222,121.3470437,52195,3,昌鑫花园(公寓),31.22116812,121.47949,42176.07692,,,,,,,
万科白马花园(公寓),满五年税少，看房方便，楼层好，得房率高,高楼层 (共6层) | 2007年建 | 1室1厅 | 51.11平米 | 南,256,"50,089",2007,51.11,15,31.08299222,121.3470437,52195,3,辰弘佳苑,31.02543947,121.3855825,42914,,,,,,,
万科白马花园(公寓),一家四口及以上家庭进来看看，舒适度爆棚的花园洋房,低楼层 (共5层) | 2007年建 | 3室2厅 | 99.28平米 | 南,470,"47,341",2007,99.28,15,31.08299222,121.3470437,52195,3,陈坊新苑,31.11069787,121.185613,27870,,,,,,,
万科白马花园(公寓),露台15平左右 边套 厨卫全明 精装修 有地暖！,中楼层 (共5层) | 2007年建 | 3室2厅 | 89.9平米 | 南,465,"51,725",2007,89.9,15,31.08299222,121.3470437,52195,3,晨星东区,31.05127769,121.322749,22418,,,,,,,
万科白马花园(公寓),精装修带花园南北通三房，满五WY税少，大花园,低楼层 (共5层) | 2007年建 | 3室2厅 | 97.11平米 | 南,500,"51,489",2007,97.11,15,31.08299222,121.3470437,52195,3,晨星小区,31.05214648,121.3168571,23946,,,,,,,
万科白马花园(公寓),西边套 采光好 美式装修好 南面临绿地，北面临河,中楼层 (共4层) | 2006年建 | 3室2厅 | 138.76平米 | 南,630,"45,403",2006,138.76,16,31.08299222,121.3470437,52195,3,大江苑,31.03257066,121.2489853,31949.875,,,,,,,
