place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
万象园,房子楼层好，业主诚意卖，出行方便，价格可谈，近地铁,低楼层 (共6层) | 1993年建 | 2室1厅 | 73.13平米 | 南,613,"83,824",1993,73.13,29,31.16808262,121.4173405,72863,1,爱和大厦,31.19474034,121.4532303,82501,,,,,,,
三江小区,三江小区 精装修两房。满五年+近地铁+税费少,低楼层 (共6层) | 1994年建 | 2室0厅 | 54.44平米 | 南,608,"111,683",1994,54.44,28,31.17107089,121.446398,72863,1,爱建园,31.18260275,121.4388234,113555,,,,,,,
三江小区,双南两房 业主诚意出售 税费少 好楼层 采光无遮挡,中楼层 (共6层) | 1994年建 | 2室1厅 | 63.39平米 | 南,735,"115,949",1994,63.39,28,31.17107089,121.446398,72863,1,澳龙公寓,31.17523815,121.442911,88741,,,91051.81959,21119.10818,166431,49847,87188.5
三江小区,户型方正，居家精装修，拎包入住，采光良好，漕宝路站,高楼层 (共6层) | 1994年建 | 1室1厅 | 47.49平米 | 南,518,"109,076",1994,47.49,28,31.17107089,121.446398,72863,1,百安小区,31.20607517,121.4531967,124515.5,,,,,,,
三江小区,"三江小区一房，近1,12,号漕宝路站,3号线龙漕路，税少",中楼层 (共6层) | 1994年建 | 1室1厅 | 47.49平米 | 南 东,520,"109,497",1994,47.49,28,31.17107089,121.446398,72863,1,百合花苑,31.1562527,121.4196234,79864.8,,,,,,,
三江小区,南北两房，可陪读自住。近1.3.12号线。,高楼层 (共6层) | 1994年建 | 2室0厅 | 54.36平米 | 南,570,"104,857",1994,54.36,28,31.17107089,121.446398,72863,1,百汇园,31.17908902,121.4663186,123972,,,,,,,
三江小区,三江小区 1室1厅 南,低楼层 (共6层) | 1994年建 | 1室1厅 | 33.1平米 | 南,398,"120,242",1994,33.1,28,31.17107089,121.446398,72863,1,百龙小区,31.15121247,121.4563415,76910,,,,,,,
三江小区,南北通透 全明户型 满五年 售后公房 税费少,低楼层 (共6层) | 1994年建 | 2室1厅 | 54.36平米 | 南 北,600,"110,376",1994,54.36,28,31.17107089,121.446398,72863,1,百色路133弄小区,31.14947523,121.4538763,71010.66667,,,,,,,
三江小区,"大一房，近1,12,号漕宝路站,3号线龙漕路",高楼层 (共6层) | 1994年建 | 1室1厅 | 47.15平米 | 南,510,"108,166",1994,47.15,28,31.17107089,121.446398,72863,1,宾阳路居民区,39.93491524,116.1932319,91785,,,,,,,
三江小区,准电梯 高层 三房 南北通 看房方便 近地铁 公园旁,高楼层 (共6层) | 1994年建 | 3室1厅 | 84.95平米 | 南,998,"117,481",1994,84.95,28,31.17107089,121.446398,72863,1,滨江小区,31.21070291,121.5205268,84584.36364,,,,,,,
三江小区,三江小区 朝南 南北通 近地铁 近公园 近日月光,低楼层 (共6层) | 1994年建 | 1室1厅 | 43.97平米 | 南,500,"113,714",1994,43.97,28,31.17107089,121.446398,72863,1,漕泾一村,30.80004195,121.4172932,90607,,,,,,,
上影公寓,徐家汇低总价电梯一房+边套全明+地铁口出行方便,中楼层 (共18层) | 1988年建 | 1室0厅 | 37.51平米 | 西,441,"117,569",1988,37.51,34,31.19095321,121.4476473,72863,1,漕溪大楼,31.19164641,121.442499,111030.5,,,,,,,
上影广场(徐汇),精装+诚意卖+看房方便+停车方便,低楼层 (共30层) | 1997年建 | 3室2厅 | 160.86平米 | 南 西,1650,"102,574",1997,160.86,25,31.19263538,121.4441333,72863,1,漕溪二村,31.17807449,121.4436399,82226,,,,,,,
上海师大新村,用心选房：复式结构，精装修，带露台，俯瞰康健,高楼层 (共18层) | 2002年建 | 6室2厅 | 227.95平米 | 南 北,2780,"121,957",2002,227.95,20,31.83559998,121.3384021,72863,1,漕溪三村,31.17609104,121.4440111,98603.25,,,,,,,
上海师大新村,师大一房，精装修，位置好，小区安静,中楼层 (共6层) | 1987年建 | 1室1厅 | 38.02平米 | 南,375,"98,633",1987,38.02,35,31.83559998,121.3384021,72863,1,漕溪四村,31.17802544,121.4477115,99458.33333,,,,,,,
