place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
万佳苑,满五且名下就这一套。 婚房装修 不靠马路 位置佳,高楼层 (共6层) | 1998年建 | 2室1厅 | 78.43平米 | 南,658,"83,897",1998,78.43,24,31.30081608,121.54335,72290,1,安波路200弄,31.31091842,121.542181,80688,,,,,,,
万昌大厦,万昌大厦 两梯四户 电梯高区 视野开阔 满五年,高楼层 (共19层) | 1998年建 | 2室2厅 | 112.38平米 | 南,750,"66,738",1998,112.38,24,31.289636,121.5369777,72290,1,安居花苑,31.28420924,121.5564733,75404,,,78495.82105,15548.99655,135244,52032,74910.5
万昌大厦,《两房一厅》《商圈围绕》《近地铁》《采光通风好》,中楼层 (共19层) | 1998年建 | 2室1厅 | 112.38平米 | 南,790,"70,298",1998,112.38,24,31.289636,121.5369777,72290,1,安图新村,31.29681849,121.5471179,73242,,,,,,,
万汇公寓,内环内，中间楼层近地铁，交通方便配套齐全,中楼层 (共7层) | 1998年建 | 2室1厅 | 91平米 | 南,745,"81,869",1998,91,24,31.26950309,121.5426742,72290,1,鞍山八村,31.28592754,121.5177145,94140.44444,,,,,,,
万汇公寓,内环内，全明大三房，通透格局，小区闹中取静,低楼层 (共7层) | 1998年建 | 3室2厅 | 119.95平米 | 南,890,"74,198",1998,119.95,24,31.26950309,121.5426742,72290,1,鞍山六村,31.27971545,121.5117734,69318.26667,,,,,,,
万登花苑,地铁口公园边，内环内滨江板块，可看三件套.,中楼层 (共5层) | 1997年建 | 2室1厅 | 98.65平米 | 南,885,"89,712",1997,98.65,25,31.26834162,121.5322597,72290,1,鞍山路215弄,31.23592904,121.4805389,85218.66667,,,,,,,
万登花苑,内环内鲜有复式，二手买进，税费低,高楼层 (共5层) | 1997年建 | 4室2厅 | 143平米 | 南,1160,"81,119",1997,143,25,31.26834162,121.5322597,72290,1,鞍山路310弄,31.23592904,121.4805389,87563.75,,,,,,,
三峰大厦,（紫荆，君欣时代假日百货，旭辉）更拥有AAA景观公园,低楼层 (共31层) | 1991年建 | 2室2厅 | 93.99平米 | 南,550,"58,517",1991,93.99,31,31.27889814,121.5192711,72290,1,鞍山七村,31.28129727,121.5092488,72060.5,,,,,,,
三湘七星府邸,洋房大平层，业主诚意到价可签，精装修，18、10号线旁,中楼层 (共7层) | 2013年建 | 4室2厅 | 265.63平米 | 南,2750,"103,528",2013,265.63,9,31.32509634,121.5039923,72290,1,鞍山三村,31.28394199,121.5194287,76706.47059,,,,,,,
三湘世纪花城,人车分流，花园式住宅，精装两年，原始两房两卫，诚意,低楼层 (共11层) | 2002年建 | 3室2厅 | 113平米 | 南 北,970,"85,841",2002,113,20,31.30565311,121.4966358,72290,1,鞍山四村第二小区,31.28362837,121.5145112,76029.92857,,,,,,,
